optimum=34198
execution_time=300.0654535,start_time=1.1177232,stop_time=301.1831767
[(44, 45), (43, 42), (9, 10), (38, 36), (35, 34), (3, 2), (40, 41), (19, 20), (7, 8), (26, 48), (27, 49), (18, 21), (30, 31), (47, 4), (17, 16), (39, 37), (13, 12), (11, 5), (6, 46), (14, 15), (1, 0), (29, 28), (33, 32), (24, 23), (22, 25)]
fitness=143674.0,iteration=0,gap=320.1239838587052,delta=109476.0,timestamp=1.2689779
fitness=137262.0,iteration=1,gap=301.3743493771566,delta=103064.0,timestamp=1.4126203
fitness=130276.0,iteration=2,gap=280.9462541669103,delta=96078.0,timestamp=1.5459293
fitness=124200.0,iteration=3,gap=263.17913328264814,delta=90002.0,timestamp=1.6902921
fitness=112620.0,iteration=4,gap=229.31750394759928,delta=78422.0,timestamp=1.8073816
fitness=106776.0,iteration=5,gap=212.2287853090824,delta=72578.0,timestamp=1.945694
fitness=106252.0,iteration=6,gap=210.69653196093338,delta=72054.0,timestamp=2.116027
fitness=99906.0,iteration=10,gap=192.13989122170887,delta=65708.0,timestamp=2.6459247
fitness=95340.0,iteration=11,gap=178.78823323001345,delta=61142.0,timestamp=2.788087
fitness=86134.0,iteration=12,gap=151.8685303234107,delta=51936.0,timestamp=2.9420725
fitness=80986.0,iteration=18,gap=136.81501842212995,delta=46788.0,timestamp=3.7422433
fitness=76320.0,iteration=19,gap=123.1709456693374,delta=42122.0,timestamp=3.8800308
fitness=72084.0,iteration=20,gap=110.78425638926252,delta=37886.0,timestamp=4.0361395
fitness=70084.0,iteration=22,gap=104.93596116731973,delta=35886.0,timestamp=4.3354614
fitness=69684.0,iteration=23,gap=103.76630212293117,delta=35486.0,timestamp=4.5099125
fitness=69144.0,iteration=25,gap=102.18726241300662,delta=34946.0,timestamp=4.7929511
fitness=68186.0,iteration=26,gap=99.385929001696,delta=33988.0,timestamp=4.9336567
fitness=66156.0,iteration=27,gap=93.44990935142407,delta=31958.0,timestamp=5.0770411
fitness=59068.0,iteration=28,gap=72.72355108485876,delta=24870.0,timestamp=5.2147345
fitness=57300.0,iteration=30,gap=67.55365810866132,delta=23102.0,timestamp=5.5063159
fitness=54482.0,iteration=32,gap=59.313410140943915,delta=20284.0,timestamp=5.821104
fitness=48092.0,iteration=34,gap=40.628106906836656,delta=13894.0,timestamp=6.130819
fitness=47894.0,iteration=36,gap=40.04912567986432,delta=13696.0,timestamp=6.4137333
fitness=46876.0,iteration=37,gap=37.07234341189543,delta=12678.0,timestamp=6.5713645
fitness=44648.0,iteration=38,gap=30.55734253465115,delta=10450.0,timestamp=6.7213307
fitness=43642.0,iteration=39,gap=27.615650038013918,delta=9444.0,timestamp=6.8366129
fitness=40790.0,iteration=40,gap=19.27598105152348,delta=6592.0,timestamp=6.9634201
fitness=38390.0,iteration=41,gap=12.258026785192117,delta=4192.0,timestamp=7.1135082
fitness=37436.0,iteration=42,gap=9.4683899643254,delta=3238.0,timestamp=7.2506894
fitness=37252.0,iteration=45,gap=8.93034680390666,delta=3054.0,timestamp=7.7276466
fitness=36986.0,iteration=47,gap=8.152523539388268,delta=2788.0,timestamp=8.0491646
fitness=36708.0,iteration=56,gap=7.339610503538219,delta=2510.0,timestamp=9.367756
fitness=35858.0,iteration=57,gap=4.854085034212527,delta=1660.0,timestamp=9.5468373
fitness=35354.0,iteration=63,gap=3.3803146382829405,delta=1156.0,timestamp=10.4258569
fitness=35076.0,iteration=64,gap=2.567401602432891,delta=878.0,timestamp=10.5829905
fitness=34764.0,iteration=93,gap=1.6550675478098136,delta=566.0,timestamp=15.413289
fitness=34756.0,iteration=158,gap=1.6316743669220424,delta=558.0,timestamp=26.3321181
