optimum=69731
execution_time=357.435809,start_time=2.5685753,stop_time=360.0043843
[(80, 81), (77, 51), (11, 9), (2, 13), (73, 74), (34, 88), (38, 39), (0, 1), (14, 15), (24, 20), (49, 50), (68, 67), (64, 65), (55, 54), (57, 56), (70, 69), (7, 86), (45, 46), (71, 72), (63, 62), (35, 33), (5, 6), (66, 31), (36, 37), (29, 32), (44, 43), (8, 87), (85, 18), (61, 60), (10, 12), (84, 82), (17, 16), (26, 27), (42, 25), (75, 76), (52, 53), (79, 78), (4, 3), (21, 22), (19, 23), (89, 83), (59, 58), (40, 41), (28, 30), (47, 48)]
fitness=302355.0,iteration=0,gap=333.60198477004485,delta=232624.0,timestamp=2.8657078
fitness=269607.0,iteration=1,gap=286.6386542570736,delta=199876.0,timestamp=3.1380572
fitness=255385.0,iteration=4,gap=266.24313433049866,delta=185654.0,timestamp=4.035206
fitness=248373.0,iteration=6,gap=256.1873485250462,delta=178642.0,timestamp=4.6112325
fitness=235321.0,iteration=7,gap=237.46970500924985,delta=165590.0,timestamp=4.8930026
fitness=225449.0,iteration=8,gap=223.3124435330054,delta=155718.0,timestamp=5.186304
fitness=220607.0,iteration=11,gap=216.36861654070643,delta=150876.0,timestamp=6.0768454
fitness=211671.0,iteration=12,gap=203.55365619308486,delta=141940.0,timestamp=6.3634812
fitness=210941.0,iteration=13,gap=202.50677603935122,delta=141210.0,timestamp=6.6712249
fitness=207311.0,iteration=14,gap=197.30105691873055,delta=137580.0,timestamp=6.984197
fitness=204603.0,iteration=15,gap=193.41756177309946,delta=134872.0,timestamp=7.2743168
fitness=192189.0,iteration=16,gap=175.6148628300182,delta=122458.0,timestamp=7.551288
fitness=175419.0,iteration=17,gap=151.56530094219215,delta=105688.0,timestamp=7.8510081
fitness=172313.0,iteration=24,gap=147.11104100041587,delta=102582.0,timestamp=9.9783421
fitness=168157.0,iteration=25,gap=141.15099453614604,delta=98426.0,timestamp=10.2931666
fitness=166221.0,iteration=27,gap=138.37461100514835,delta=96490.0,timestamp=10.8632987
fitness=159279.0,iteration=30,gap=128.41921096786223,delta=89548.0,timestamp=11.7056656
