optimum=130178
execution_time=345.842525,start_time=14.1512542,stop_time=359.9937792
[(61, 54), (77, 73), (174, 145), (179, 178), (190, 180), (181, 177), (92, 58), (113, 112), (195, 191), (175, 171), (49, 50), (8, 4), (100, 35), (138, 137), (169, 161), (142, 143), (183, 182), (101, 98), (6, 0), (82, 81), (162, 160), (132, 131), (36, 20), (83, 84), (144, 141), (128, 127), (165, 164), (173, 146), (122, 121), (133, 134), (23, 22), (198, 74), (186, 176), (168, 167), (75, 154), (29, 28), (3, 64), (199, 197), (93, 123), (17, 79), (53, 55), (66, 189), (124, 194), (78, 80), (184, 76), (119, 117), (60, 63), (140, 151), (40, 41), (56, 94), (90, 88), (52, 51), (115, 116), (12, 15), (10, 32), (139, 33), (72, 48), (21, 19), (125, 111), (105, 188), (130, 129), (192, 7), (170, 102), (172, 25), (157, 158), (31, 163), (34, 166), (18, 65), (71, 70), (86, 9), (24, 118), (156, 159), (14, 187), (96, 95), (110, 107), (185, 196), (155, 153), (120, 114), (106, 104), (99, 193), (37, 39), (103, 97), (44, 11), (1, 16), (85, 126), (69, 26), (89, 87), (45, 2), (59, 62), (27, 30), (91, 149), (13, 47), (68, 67), (152, 150), (38, 42), (148, 147), (43, 46), (57, 5), (135, 136), (108, 109)]
fitness=692410.0,iteration=0,gap=431.8947902103274,delta=562232.0,timestamp=14.7228711
fitness=669790.0,iteration=2,gap=414.5185822489207,delta=539612.0,timestamp=15.782834
fitness=641124.0,iteration=5,gap=392.4979643257693,delta=510946.0,timestamp=17.4609206
fitness=639792.0,iteration=7,gap=391.4747499577502,delta=509614.0,timestamp=18.522424
fitness=635736.0,iteration=8,gap=388.35901611639446,delta=505558.0,timestamp=19.0239013
fitness=631876.0,iteration=9,gap=385.39384535021276,delta=501698.0,timestamp=19.5466249
fitness=624358.0,iteration=10,gap=379.6186759667532,delta=494180.0,timestamp=20.0774678
fitness=613688.0,iteration=11,gap=371.4222065172303,delta=483510.0,timestamp=20.6294124
fitness=598524.0,iteration=12,gap=359.773540844075,delta=468346.0,timestamp=21.1896174
fitness=598372.0,iteration=14,gap=359.6567776429197,delta=468194.0,timestamp=22.2422574
fitness=587580.0,iteration=15,gap=351.3665903608905,delta=457402.0,timestamp=22.7801068
fitness=584804.0,iteration=16,gap=349.23412558189557,delta=454626.0,timestamp=23.2952519
fitness=575956.0,iteration=17,gap=342.43727818832673,delta=445778.0,timestamp=23.8769913
fitness=573378.0,iteration=19,gap=340.45691284241576,delta=443200.0,timestamp=24.9368004
fitness=557556.0,iteration=20,gap=328.30278541689074,delta=427378.0,timestamp=25.4709361
fitness=554698.0,iteration=21,gap=326.1073299635883,delta=424520.0,timestamp=26.0205155
fitness=548050.0,iteration=24,gap=321.0004762709521,delta=417872.0,timestamp=27.614027
fitness=536852.0,iteration=25,gap=312.3984083332053,delta=406674.0,timestamp=28.1595041
fitness=535012.0,iteration=27,gap=310.9849590560617,delta=404834.0,timestamp=29.2667079
fitness=533186.0,iteration=29,gap=309.5822642842877,delta=403008.0,timestamp=30.3773876
fitness=520774.0,iteration=30,gap=300.0476270952081,delta=390596.0,timestamp=30.9210398
fitness=517052.0,iteration=33,gap=297.18846502481216,delta=386874.0,timestamp=32.4988394
fitness=511614.0,iteration=36,gap=293.01110786768885,delta=381436.0,timestamp=34.0809349
fitness=482188.0,iteration=37,gap=270.4066739387608,delta=352010.0,timestamp=34.6261089
fitness=472608.0,iteration=46,gap=263.0475195501544,delta=342430.0,timestamp=39.3026937
fitness=469484.0,iteration=47,gap=260.6477284948302,delta=339306.0,timestamp=39.8518476
