optimum=83495
execution_time=300.27895450000005,start_time=2.451627,stop_time=302.7305815
[(39, 40), (60, 41), (50, 51), (1, 0), (36, 35), (72, 70), (16, 17), (89, 90), (93, 91), (47, 46), (81, 13), (28, 27), (92, 18), (52, 53), (26, 21), (25, 24), (76, 75), (2, 3), (57, 54), (64, 63), (98, 97), (34, 33), (19, 20), (95, 4), (62, 61), (14, 15), (44, 45), (9, 11), (99, 69), (6, 5), (56, 55), (29, 30), (87, 83), (43, 42), (22, 23), (79, 77), (49, 48), (12, 10), (38, 37), (84, 85), (67, 65), (88, 74), (8, 7), (68, 66), (78, 80), (96, 94), (31, 32), (58, 59), (82, 86), (71, 73)]
fitness=354551.0,iteration=0,gap=324.63740343733156,delta=271056.0,timestamp=2.7252103
fitness=341333.0,iteration=1,gap=308.8065153602012,delta=257838.0,timestamp=3.0067978
fitness=337845.0,iteration=2,gap=304.62901970177853,delta=254350.0,timestamp=3.274942
fitness=310333.0,iteration=3,gap=271.6785436253668,delta=226838.0,timestamp=3.5298842
fitness=305711.0,iteration=6,gap=266.1428828073537,delta=222216.0,timestamp=4.3281037
fitness=293353.0,iteration=7,gap=251.34199652673814,delta=209858.0,timestamp=4.587572
fitness=291541.0,iteration=8,gap=249.17180669501167,delta=208046.0,timestamp=4.8443236
fitness=282301.0,iteration=10,gap=238.10527576501585,delta=198806.0,timestamp=5.3390865
fitness=275657.0,iteration=12,gap=230.14791304868555,delta=192162.0,timestamp=5.8746125
fitness=274775.0,iteration=13,gap=229.09156236900415,delta=191280.0,timestamp=6.1413309
fitness=268027.0,iteration=15,gap=221.00964129588596,delta=184532.0,timestamp=6.6909119
fitness=262943.0,iteration=16,gap=214.92065393137315,delta=179448.0,timestamp=6.9605724
fitness=252201.0,iteration=17,gap=202.05521288699924,delta=168706.0,timestamp=7.2263703
fitness=244755.0,iteration=19,gap=193.13731361159353,delta=161260.0,timestamp=7.7542555
fitness=232489.0,iteration=23,gap=178.44661356967484,delta=148994.0,timestamp=8.8221538
fitness=230509.0,iteration=24,gap=176.07521408467574,delta=147014.0,timestamp=9.0773565
