optimum=34198
execution_time=20.549564099999998,start_time=0.8474685,stop_time=21.3970326
[(35, 34), (23, 24), (2, 3), (15, 14), (33, 32), (7, 8), (12, 13), (39, 37), (19, 18), (45, 46), (44, 49), (26, 48), (38, 36), (41, 40), (31, 30), (22, 25), (4, 6), (27, 20), (21, 47), (9, 11), (1, 0), (17, 16), (5, 10), (43, 42), (29, 28)]
fitness=130954.0,iteration=0,gap=282.92882624714895,delta=96756.0,timestamp=0.9891882
fitness=125036.0,iteration=2,gap=265.6237206854202,delta=90838.0,timestamp=1.2614695
fitness=119438.0,iteration=3,gap=249.25434235920227,delta=85240.0,timestamp=1.4118458
fitness=110182.0,iteration=4,gap=222.188432072051,delta=75984.0,timestamp=1.5549748
fitness=106144.0,iteration=6,gap=210.38072401894848,delta=71946.0,timestamp=1.839093
fitness=100958.0,iteration=7,gap=195.2160945084508,delta=66760.0,timestamp=1.9861859
fitness=100086.0,iteration=8,gap=192.66623779168373,delta=65888.0,timestamp=2.121706
fitness=92638.0,iteration=9,gap=170.88718638516872,delta=58440.0,timestamp=2.2618405
fitness=91492.0,iteration=11,gap=167.53611322299548,delta=57294.0,timestamp=2.5548464
fitness=90050.0,iteration=12,gap=163.31949236797473,delta=55852.0,timestamp=2.6834817
fitness=79748.0,iteration=13,gap=133.19492367974735,delta=45550.0,timestamp=2.8151532
fitness=76738.0,iteration=18,gap=124.39323937072344,delta=42540.0,timestamp=3.5364939
fitness=74554.0,iteration=19,gap=118.00690098836188,delta=40356.0,timestamp=3.6745345
fitness=73858.0,iteration=20,gap=115.9716942511258,delta=39660.0,timestamp=3.8305443
fitness=68238.0,iteration=21,gap=99.53798467746651,delta=34040.0,timestamp=3.9753272
fitness=60434.0,iteration=23,gap=76.7179367214457,delta=26236.0,timestamp=4.2687494
fitness=60130.0,iteration=25,gap=75.82899584771039,delta=25932.0,timestamp=4.5514839
fitness=57976.0,iteration=27,gap=69.530381893678,delta=23778.0,timestamp=4.8380425
fitness=55582.0,iteration=28,gap=62.52997251301245,delta=21384.0,timestamp=4.9815011
fitness=53520.0,iteration=29,gap=56.500380139189424,delta=19322.0,timestamp=5.1205513
fitness=52082.0,iteration=31,gap=52.29545587461255,delta=17884.0,timestamp=5.4093655
fitness=50966.0,iteration=32,gap=49.03210714076847,delta=16768.0,timestamp=5.5445883
fitness=49514.0,iteration=33,gap=44.78624480963799,delta=15316.0,timestamp=5.6892779
fitness=47662.0,iteration=37,gap=39.37072343411895,delta=13464.0,timestamp=6.2347763
fitness=43172.0,iteration=38,gap=26.24130066085736,delta=8974.0,timestamp=6.3718739
fitness=43162.0,iteration=42,gap=26.212059184747645,delta=8964.0,timestamp=6.926218
fitness=42646.0,iteration=45,gap=24.7031990174864,delta=8448.0,timestamp=7.3604665
fitness=42186.0,iteration=46,gap=23.358091116439557,delta=7988.0,timestamp=7.4945063
fitness=41436.0,iteration=47,gap=21.164980408211008,delta=7238.0,timestamp=7.6263774
fitness=40980.0,iteration=48,gap=19.83156909760805,delta=6782.0,timestamp=7.7712354
fitness=40906.0,iteration=49,gap=19.615182174396164,delta=6708.0,timestamp=7.8958487
fitness=39510.0,iteration=51,gap=15.533072109480086,delta=5312.0,timestamp=8.1837386
fitness=39436.0,iteration=53,gap=15.316685186268202,delta=5238.0,timestamp=8.4572791
fitness=38022.0,iteration=54,gap=11.181940464354641,delta=3824.0,timestamp=8.592933
fitness=38020.0,iteration=56,gap=11.176092169132698,delta=3822.0,timestamp=8.8714312
fitness=37496.0,iteration=57,gap=9.643838820983683,delta=3298.0,timestamp=9.0251098
fitness=37422.0,iteration=58,gap=9.4274518977718,delta=3224.0,timestamp=9.1690138
fitness=37378.0,iteration=61,gap=9.298789402889057,delta=3180.0,timestamp=9.5869401
fitness=36916.0,iteration=68,gap=7.947833206620271,delta=2718.0,timestamp=10.5645206
fitness=36908.0,iteration=71,gap=7.9244400257324985,delta=2710.0,timestamp=10.9775696
fitness=35974.0,iteration=72,gap=5.19328615708521,delta=1776.0,timestamp=11.1193355
fitness=35964.0,iteration=74,gap=5.164044680975496,delta=1766.0,timestamp=11.4043186
fitness=35470.0,iteration=75,gap=3.719515761155623,delta=1272.0,timestamp=11.552849
fitness=35468.0,iteration=76,gap=3.71366746593368,delta=1270.0,timestamp=11.686978
fitness=34524.0,iteration=79,gap=0.953272121176677,delta=326.0,timestamp=12.0859934
fitness=34246.0,iteration=119,gap=0.14035908532662728,delta=48.0,timestamp=17.5523006
fitness=34198.0,iteration=148,gap=0.0,delta=0.0,timestamp=21.3970027
