optimum=69731
execution_time=358.0429942,start_time=1.9557193,stop_time=359.9987135
[(77, 66), (76, 75), (78, 79), (40, 41), (52, 53), (30, 29), (61, 60), (59, 58), (80, 81), (72, 68), (28, 31), (51, 42), (48, 47), (83, 89), (64, 65), (26, 27), (70, 71), (18, 85), (4, 13), (16, 17), (69, 67), (87, 8), (6, 5), (74, 73), (55, 54), (49, 50), (86, 25), (84, 82), (37, 88), (10, 9), (0, 1), (44, 43), (7, 32), (46, 45), (3, 2), (62, 63), (22, 19), (20, 21), (11, 12), (36, 35), (38, 39), (15, 14), (34, 33), (56, 57), (24, 23)]
fitness=288299.0,iteration=0,gap=313.44452252226415,delta=218568.0,timestamp=2.1709704
fitness=282871.0,iteration=2,gap=305.6603232421735,delta=213140.0,timestamp=2.6498228
fitness=261775.0,iteration=3,gap=275.40692088167384,delta=192044.0,timestamp=2.8952177
fitness=260467.0,iteration=5,gap=273.5311410993676,delta=190736.0,timestamp=3.3603906
fitness=250019.0,iteration=6,gap=258.5478481593552,delta=180288.0,timestamp=3.6051618
fitness=246427.0,iteration=7,gap=253.3966241700248,delta=176696.0,timestamp=3.8560163
fitness=236731.0,iteration=8,gap=239.49176119659836,delta=167000.0,timestamp=4.1100487
fitness=236425.0,iteration=9,gap=239.05293198147163,delta=166694.0,timestamp=4.3468141
fitness=235229.0,iteration=11,gap=237.33776942823135,delta=165498.0,timestamp=4.8114208
fitness=225681.0,iteration=13,gap=223.64515065035638,delta=155950.0,timestamp=5.2789796
fitness=218821.0,iteration=14,gap=213.80734537006498,delta=149090.0,timestamp=5.5382547
fitness=211101.0,iteration=15,gap=202.7362292237312,delta=141370.0,timestamp=5.7660403
fitness=208379.0,iteration=17,gap=198.83265692446687,delta=138648.0,timestamp=6.2431934
fitness=200915.0,iteration=19,gap=188.12866587314107,delta=131184.0,timestamp=6.7122536
fitness=192291.0,iteration=22,gap=175.76113923506045,delta=122560.0,timestamp=7.4422891
fitness=191163.0,iteration=24,gap=174.14349428518165,delta=121432.0,timestamp=7.9416613
fitness=182797.0,iteration=25,gap=162.1459609069137,delta=113066.0,timestamp=8.1763049
fitness=173373.0,iteration=26,gap=148.6311683469332,delta=103642.0,timestamp=8.4064652
fitness=170003.0,iteration=29,gap=143.79831065093,delta=100272.0,timestamp=9.1721451
fitness=164973.0,iteration=30,gap=136.58487616698457,delta=95242.0,timestamp=9.4039741
fitness=164307.0,iteration=31,gap=135.62977728700292,delta=94576.0,timestamp=9.6457505
fitness=154631.0,iteration=32,gap=121.75359596162396,delta=84900.0,timestamp=9.8858664
fitness=153901.0,iteration=34,gap=120.70671580789032,delta=84170.0,timestamp=10.366481
fitness=153823.0,iteration=35,gap=120.59485738050509,delta=84092.0,timestamp=10.5946111
fitness=149935.0,iteration=37,gap=115.01914500007172,delta=80204.0,timestamp=11.0629309
fitness=146921.0,iteration=38,gap=110.69682063931394,delta=77190.0,timestamp=11.2957094
fitness=145897.0,iteration=39,gap=109.22832025928211,delta=76166.0,timestamp=11.5347494
fitness=145455.0,iteration=40,gap=108.5944558374324,delta=75724.0,timestamp=11.7553219
fitness=141557.0,iteration=41,gap=103.0044026329753,delta=71826.0,timestamp=11.9993418
fitness=140741.0,iteration=43,gap=101.83419139263744,delta=71010.0,timestamp=12.4817396
fitness=139035.0,iteration=44,gap=99.38764681418594,delta=69304.0,timestamp=12.7359692
fitness=137643.0,iteration=45,gap=97.39140411008016,delta=67912.0,timestamp=12.9708437
fitness=135725.0,iteration=46,gap=94.64083406232521,delta=65994.0,timestamp=13.2173377
fitness=135361.0,iteration=47,gap=94.11882806786079,delta=65630.0,timestamp=13.4487069
fitness=131837.0,iteration=48,gap=89.06512168189184,delta=62106.0,timestamp=13.6958012
fitness=129383.0,iteration=49,gap=85.54588346646398,delta=59652.0,timestamp=13.9463145
fitness=125847.0,iteration=51,gap=80.47496809166654,delta=56116.0,timestamp=14.4361652
fitness=125695.0,iteration=52,gap=80.25698756650557,delta=55964.0,timestamp=14.6953939
fitness=121159.0,iteration=53,gap=73.7519897893333,delta=51428.0,timestamp=14.9239929
fitness=120511.0,iteration=54,gap=72.82270439259439,delta=50780.0,timestamp=15.17066
fitness=118385.0,iteration=55,gap=69.77384520514549,delta=48654.0,timestamp=15.4127826
fitness=117303.0,iteration=56,gap=68.22216804577592,delta=47572.0,timestamp=15.6534694
fitness=111963.0,iteration=57,gap=60.56416801709427,delta=42232.0,timestamp=15.9037844
fitness=111761.0,iteration=59,gap=60.27448337181455,delta=42030.0,timestamp=16.3847542
fitness=108493.0,iteration=60,gap=55.58790208085357,delta=38762.0,timestamp=16.6311022
fitness=108245.0,iteration=69,gap=55.2322496450646,delta=38514.0,timestamp=18.7317518
fitness=106645.0,iteration=70,gap=52.93771780126486,delta=36914.0,timestamp=18.9943319
fitness=106397.0,iteration=74,gap=52.582065365475906,delta=36666.0,timestamp=19.9699187
