optimum=130178
execution_time=346.7301921,start_time=13.26178,stop_time=359.9919721
[(181, 11), (61, 60), (23, 187), (192, 92), (13, 16), (21, 24), (96, 93), (54, 75), (57, 56), (103, 167), (62, 63), (124, 123), (185, 44), (36, 47), (7, 83), (127, 128), (125, 114), (64, 190), (1, 5), (81, 82), (178, 105), (186, 194), (9, 10), (30, 4), (120, 119), (0, 3), (69, 71), (179, 35), (175, 172), (8, 191), (193, 14), (183, 184), (131, 134), (98, 132), (27, 29), (68, 34), (174, 145), (162, 161), (126, 196), (25, 133), (6, 17), (70, 73), (72, 74), (45, 37), (48, 42), (84, 77), (188, 180), (32, 31), (101, 121), (2, 12), (164, 197), (86, 152), (198, 143), (116, 113), (91, 87), (146, 158), (136, 135), (76, 195), (50, 49), (111, 115), (20, 22), (117, 122), (79, 78), (38, 40), (144, 199), (41, 67), (118, 112), (52, 43), (156, 33), (59, 58), (155, 154), (173, 171), (80, 168), (163, 160), (100, 99), (85, 104), (170, 169), (28, 26), (46, 39), (53, 51), (150, 151), (15, 65), (138, 137), (177, 18), (89, 159), (66, 176), (141, 142), (19, 182), (140, 139), (157, 55), (129, 130), (95, 94), (102, 97), (189, 106), (166, 165), (147, 153), (88, 90), (109, 107), (110, 108), (149, 148)]
fitness=698634.0,iteration=0,gap=436.67593602605666,delta=568456.0,timestamp=13.7666951
fitness=681730.0,iteration=1,gap=423.69063897125477,delta=551552.0,timestamp=14.2985388
fitness=674526.0,iteration=4,gap=418.1566777796555,delta=544348.0,timestamp=15.8686913
fitness=663986.0,iteration=5,gap=410.0600715942786,delta=533808.0,timestamp=16.3331244
fitness=650954.0,iteration=6,gap=400.04916345311807,delta=520776.0,timestamp=16.8855586
fitness=642726.0,iteration=7,gap=393.7285870116302,delta=512548.0,timestamp=17.3901881
fitness=639422.0,iteration=10,gap=391.1905237444115,delta=509244.0,timestamp=18.8778621
fitness=623280.0,iteration=11,gap=378.79057905329626,delta=493102.0,timestamp=19.34263
fitness=622874.0,iteration=12,gap=378.4786983975787,delta=492696.0,timestamp=19.891404
fitness=618164.0,iteration=13,gap=374.86057551967303,delta=487986.0,timestamp=20.3864418
fitness=602050.0,iteration=14,gap=362.48213983929696,delta=471872.0,timestamp=20.8765087
fitness=596862.0,iteration=17,gap=358.49682742091596,delta=466684.0,timestamp=22.4934034
fitness=587142.0,iteration=18,gap=351.0301279786139,delta=456964.0,timestamp=23.0395462
fitness=583710.0,iteration=20,gap=348.3937378051591,delta=453532.0,timestamp=24.0844975
fitness=573066.0,iteration=21,gap=340.21724100846535,delta=442888.0,timestamp=24.6202692
fitness=569734.0,iteration=23,gap=337.65766873050745,delta=439556.0,timestamp=25.5956245
fitness=545520.0,iteration=24,gap=319.0569835148796,delta=415342.0,timestamp=26.1008849
fitness=539414.0,iteration=27,gap=314.3664828158368,delta=409236.0,timestamp=27.8666105
fitness=535106.0,iteration=29,gap=311.0571678778288,delta=404928.0,timestamp=29.0581672
fitness=533948.0,iteration=31,gap=310.16761664797434,delta=403770.0,timestamp=30.2583273
fitness=527846.0,iteration=32,gap=305.4801886647513,delta=397668.0,timestamp=30.8452057
fitness=525344.0,iteration=33,gap=303.558204919418,delta=395166.0,timestamp=31.4459265
fitness=519680.0,iteration=35,gap=299.20723931847164,delta=389502.0,timestamp=32.6836214
fitness=516532.0,iteration=36,gap=296.7890119682281,delta=386354.0,timestamp=33.3171559
fitness=516144.0,iteration=38,gap=296.4909585337,delta=385966.0,timestamp=34.5378981
fitness=508344.0,iteration=39,gap=290.4991626849391,delta=378166.0,timestamp=35.1475443
fitness=506164.0,iteration=40,gap=288.8245325631059,delta=375986.0,timestamp=35.7795849
fitness=496222.0,iteration=43,gap=281.18729739280064,delta=366044.0,timestamp=37.6486726
fitness=496074.0,iteration=44,gap=281.07360690746515,delta=365896.0,timestamp=38.2650787
fitness=495250.0,iteration=45,gap=280.4406274485704,delta=365072.0,timestamp=38.8758618
fitness=486192.0,iteration=46,gap=273.4824624744581,delta=356014.0,timestamp=39.4708964
fitness=485044.0,iteration=47,gap=272.60059303415323,delta=354866.0,timestamp=40.105004
fitness=482324.0,iteration=48,gap=270.5111462766366,delta=352146.0,timestamp=40.7177924
fitness=482162.0,iteration=50,gap=270.38670128593157,delta=351984.0,timestamp=41.945763
fitness=470660.0,iteration=51,gap=261.5511069458741,delta=340482.0,timestamp=42.5560392
fitness=470646.0,iteration=52,gap=261.54035244050453,delta=340468.0,timestamp=43.1836072
fitness=467696.0,iteration=53,gap=259.27422452334497,delta=337518.0,timestamp=43.8062647
fitness=465266.0,iteration=55,gap=257.40754966276944,delta=335088.0,timestamp=45.0926265
fitness=458172.0,iteration=57,gap=251.95808815621686,delta=327994.0,timestamp=46.3429718
fitness=450636.0,iteration=59,gap=246.16909155156782,delta=320458.0,timestamp=47.5764974
fitness=449738.0,iteration=60,gap=245.4792668500054,delta=319560.0,timestamp=48.2384706
fitness=444460.0,iteration=62,gap=241.42481832567717,delta=314282.0,timestamp=49.4732046
fitness=444058.0,iteration=63,gap=241.11601038577945,delta=313880.0,timestamp=50.071577
fitness=435792.0,iteration=65,gap=234.76624314400283,delta=305614.0,timestamp=51.3182567
fitness=429670.0,iteration=67,gap=230.06345158168048,delta=299492.0,timestamp=52.562111
fitness=420666.0,iteration=69,gap=223.14676827113647,delta=290488.0,timestamp=53.7732733
fitness=416050.0,iteration=71,gap=219.60085421499792,delta=285872.0,timestamp=54.9652314
fitness=414976.0,iteration=75,gap=218.77583001736082,delta=284798.0,timestamp=57.379252
fitness=405978.0,iteration=76,gap=211.86375578054663,delta=275800.0,timestamp=57.970632
fitness=401034.0,iteration=77,gap=208.0658790271782,delta=270856.0,timestamp=58.5912181
fitness=400742.0,iteration=79,gap=207.84157077232712,delta=270564.0,timestamp=59.7660835
fitness=394292.0,iteration=80,gap=202.8868165127748,delta=264114.0,timestamp=60.3518971
fitness=392788.0,iteration=82,gap=201.73147536450094,delta=262610.0,timestamp=61.599179
fitness=384286.0,iteration=84,gap=195.20041788935148,delta=254108.0,timestamp=62.8126264
fitness=383980.0,iteration=85,gap=194.9653551291309,delta=253802.0,timestamp=63.4407715
fitness=382676.0,iteration=87,gap=193.96364977185087,delta=252498.0,timestamp=64.5774331
fitness=382214.0,iteration=88,gap=193.60875109465502,delta=252036.0,timestamp=65.1196392
fitness=374932.0,iteration=89,gap=188.0148719445682,delta=244754.0,timestamp=65.6983972
fitness=374768.0,iteration=91,gap=187.88889059595323,delta=244590.0,timestamp=66.8084077
fitness=370726.0,iteration=93,gap=184.7839112599671,delta=240548.0,timestamp=67.9705939
fitness=362038.0,iteration=95,gap=178.1099724991934,delta=231860.0,timestamp=69.1466576
fitness=359776.0,iteration=98,gap=176.37235170305274,delta=229598.0,timestamp=70.9086385
fitness=358078.0,iteration=99,gap=175.0679838375148,delta=227900.0,timestamp=71.50332
fitness=356976.0,iteration=100,gap=174.22145062913856,delta=226798.0,timestamp=72.0759233
fitness=356808.0,iteration=103,gap=174.09239656470373,delta=226630.0,timestamp=73.8335462
fitness=352932.0,iteration=104,gap=171.11493493524253,delta=222754.0,timestamp=74.4259472
fitness=351640.0,iteration=105,gap=170.12244772542212,delta=221462.0,timestamp=75.0034799
fitness=350546.0,iteration=106,gap=169.28205994868563,delta=220368.0,timestamp=75.5731757
fitness=349516.0,iteration=107,gap=168.4908356250672,delta=219338.0,timestamp=76.1389717
fitness=347910.0,iteration=108,gap=167.25714022338644,delta=217732.0,timestamp=76.7323906
fitness=344214.0,iteration=110,gap=164.41795080581974,delta=214036.0,timestamp=77.8537028
fitness=342224.0,iteration=111,gap=162.8892746854307,delta=212046.0,timestamp=78.4267048
fitness=341380.0,iteration=112,gap=162.24093164743658,delta=211202.0,timestamp=79.0112349
fitness=340506.0,iteration=113,gap=161.56954324079337,delta=210328.0,timestamp=79.5944807
fitness=339294.0,iteration=114,gap=160.63851034737053,delta=209116.0,timestamp=80.1900721
fitness=339068.0,iteration=115,gap=160.46490190354746,delta=208890.0,timestamp=80.7666651
fitness=337142.0,iteration=116,gap=158.9853892362765,delta=206964.0,timestamp=81.3127526
fitness=334376.0,iteration=117,gap=156.86060624683128,delta=204198.0,timestamp=81.8189553
fitness=331984.0,iteration=119,gap=155.02312218654458,delta=201806.0,timestamp=83.0106724
fitness=330886.0,iteration=121,gap=154.17966169398824,delta=200708.0,timestamp=84.1403206
fitness=330678.0,iteration=122,gap=154.0198804713546,delta=200500.0,timestamp=84.7176176
fitness=323978.0,iteration=124,gap=148.87308147305995,delta=193800.0,timestamp=85.8459995
fitness=323134.0,iteration=128,gap=148.22473843506583,delta=192956.0,timestamp=88.1472637
fitness=321408.0,iteration=129,gap=146.89886155878872,delta=191230.0,timestamp=88.7368552
