optimum=130178
execution_time=343.3798832,start_time=16.6089071,stop_time=359.9887903
[(134, 103), (196, 187), (12, 14), (123, 60), (105, 188), (44, 32), (78, 161), (81, 82), (176, 98), (35, 170), (93, 62), (4, 5), (114, 112), (22, 195), (43, 45), (27, 86), (37, 41), (172, 173), (167, 169), (163, 137), (181, 180), (116, 152), (51, 197), (25, 9), (21, 20), (159, 164), (128, 127), (85, 83), (59, 58), (19, 184), (142, 144), (70, 199), (54, 75), (153, 46), (145, 146), (16, 190), (64, 11), (80, 79), (157, 154), (174, 175), (2, 1), (47, 194), (115, 77), (171, 131), (185, 186), (18, 17), (24, 69), (52, 166), (121, 50), (0, 8), (26, 30), (106, 124), (33, 139), (13, 192), (160, 162), (66, 65), (135, 63), (48, 38), (138, 168), (92, 97), (117, 119), (113, 36), (191, 57), (107, 68), (178, 179), (102, 101), (39, 42), (74, 182), (23, 67), (156, 155), (72, 73), (49, 104), (40, 158), (147, 148), (193, 55), (133, 132), (76, 71), (130, 129), (56, 6), (177, 189), (110, 108), (100, 99), (53, 88), (126, 10), (34, 140), (3, 61), (90, 91), (151, 149), (96, 95), (109, 150), (15, 7), (120, 125), (84, 31), (141, 143), (198, 183), (118, 122), (111, 94), (28, 29), (136, 165), (89, 87)]
fitness=697310.0,iteration=0,gap=435.65886708967724,delta=567132.0,timestamp=17.2301893
fitness=693006.0,iteration=2,gap=432.35262486748917,delta=562828.0,timestamp=18.4450486
fitness=688066.0,iteration=3,gap=428.5578208299405,delta=557888.0,timestamp=19.0214623
fitness=676822.0,iteration=4,gap=419.9204166602652,delta=546644.0,timestamp=19.6316682
fitness=674742.0,iteration=5,gap=418.3226044339289,delta=544564.0,timestamp=20.2640114
fitness=673596.0,iteration=6,gap=417.4422713515341,delta=543418.0,timestamp=20.8760577
fitness=646828.0,iteration=7,gap=396.8796570849145,delta=516650.0,timestamp=21.4745421
fitness=639898.0,iteration=9,gap=391.5561769269769,delta=509720.0,timestamp=22.6620884
fitness=633646.0,iteration=10,gap=386.7535221005086,delta=503468.0,timestamp=23.2682932
fitness=631370.0,iteration=11,gap=385.0051467989983,delta=501192.0,timestamp=23.872552
fitness=618832.0,iteration=13,gap=375.37371906159257,delta=488654.0,timestamp=25.1205859
fitness=609428.0,iteration=14,gap=368.14976416906086,delta=479250.0,timestamp=25.7261375
fitness=597178.0,iteration=17,gap=358.7395719706863,delta=467000.0,timestamp=27.5288195
fitness=574934.0,iteration=21,gap=341.65219929634804,delta=444756.0,timestamp=29.960346
fitness=553626.0,iteration=25,gap=325.2838421238612,delta=423448.0,timestamp=32.396643
fitness=547978.0,iteration=28,gap=320.94516738619427,delta=417800.0,timestamp=34.210261
fitness=545028.0,iteration=32,gap=318.6790394690347,delta=414850.0,timestamp=36.6470902
fitness=543418.0,iteration=35,gap=317.44227135153403,delta=413240.0,timestamp=38.4717931
fitness=538526.0,iteration=36,gap=313.684339903824,delta=408348.0,timestamp=39.0745145
fitness=531128.0,iteration=38,gap=308.00135199496077,delta=400950.0,timestamp=40.3014639
fitness=524438.0,iteration=39,gap=302.8622347862158,delta=394260.0,timestamp=40.9044784
fitness=524346.0,iteration=41,gap=302.79156232235863,delta=394168.0,timestamp=42.0641913
fitness=522634.0,iteration=42,gap=301.4764399514511,delta=392456.0,timestamp=42.648137
fitness=522238.0,iteration=43,gap=301.17224108528325,delta=392060.0,timestamp=43.2637465
fitness=518546.0,iteration=44,gap=298.3361243835364,delta=388368.0,timestamp=43.8689115
fitness=514546.0,iteration=45,gap=295.263408563659,delta=384368.0,timestamp=44.4640053
fitness=507470.0,iteration=46,gap=289.8277742782959,delta=377292.0,timestamp=45.0723576
fitness=504736.0,iteration=47,gap=287.7275730154097,delta=374558.0,timestamp=45.7176272
fitness=495902.0,iteration=50,gap=280.94148012721047,delta=365724.0,timestamp=47.6593287
fitness=484356.0,iteration=51,gap=272.07208591313434,delta=354178.0,timestamp=48.2798775
fitness=480344.0,iteration=54,gap=268.9901519457973,delta=350166.0,timestamp=50.1352837
fitness=476006.0,iteration=55,gap=265.65779163914027,delta=345828.0,timestamp=50.7414349
fitness=474474.0,iteration=57,gap=264.48094148012717,delta=344296.0,timestamp=51.9262567
fitness=470522.0,iteration=59,gap=261.44509825008834,delta=340344.0,timestamp=53.0723535
fitness=460966.0,iteration=60,gap=254.10438015640122,delta=330788.0,timestamp=53.638433
fitness=459862.0,iteration=62,gap=253.25631059011505,delta=329684.0,timestamp=54.7934779
fitness=452666.0,iteration=63,gap=247.72849483015565,delta=322488.0,timestamp=55.3610851
fitness=450646.0,iteration=64,gap=246.17677334111755,delta=320468.0,timestamp=55.9603316
fitness=450328.0,iteration=66,gap=245.93249243343732,delta=320150.0,timestamp=57.1117671
fitness=449278.0,iteration=67,gap=245.12590453071948,delta=319100.0,timestamp=57.6741552
fitness=443790.0,iteration=68,gap=240.91013842584766,delta=313612.0,timestamp=58.2404666
fitness=440572.0,iteration=69,gap=238.4381385487563,delta=310394.0,timestamp=58.8025281
fitness=440006.0,iteration=72,gap=238.00334926024368,delta=309828.0,timestamp=60.4902407
