optimum=47234
execution_time=300.0534536,start_time=1.4351064,stop_time=301.48856
[(30, 31), (33, 28), (32, 29), (50, 47), (57, 58), (25, 26), (52, 51), (11, 8), (63, 62), (38, 39), (59, 60), (12, 68), (40, 41), (22, 21), (56, 55), (34, 35), (61, 66), (16, 19), (65, 54), (49, 53), (4, 5), (27, 20), (44, 45), (14, 15), (13, 69), (1, 0), (46, 48), (42, 43), (24, 23), (18, 17), (2, 3), (64, 67), (9, 10), (37, 36), (6, 7)]
fitness=180420.0,iteration=0,gap=281.9706143879409,delta=133186.0,timestamp=1.6492323
fitness=178772.0,iteration=3,gap=278.4816022356777,delta=131538.0,timestamp=2.3258137
fitness=177532.0,iteration=4,gap=275.8563746453826,delta=130298.0,timestamp=2.5444725
fitness=163272.0,iteration=5,gap=245.66625735698858,delta=116038.0,timestamp=2.7597826
fitness=145936.0,iteration=6,gap=208.96388194944322,delta=98702.0,timestamp=2.9988889
fitness=130576.0,iteration=8,gap=176.44493373417453,delta=83342.0,timestamp=3.4453271
fitness=127346.0,iteration=14,gap=169.6066392852606,delta=80112.0,timestamp=4.8342418
fitness=127298.0,iteration=15,gap=169.50501757208792,delta=80064.0,timestamp=5.0585417
fitness=125362.0,iteration=16,gap=165.4062751407884,delta=78128.0,timestamp=5.27055
fitness=123020.0,iteration=17,gap=160.44798238556973,delta=75786.0,timestamp=5.4824131
fitness=121640.0,iteration=18,gap=157.52635813185418,delta=74406.0,timestamp=5.716092
fitness=117590.0,iteration=19,gap=148.9520260829064,delta=70356.0,timestamp=5.9531613
fitness=115598.0,iteration=20,gap=144.73472498623872,delta=68364.0,timestamp=6.1851353
fitness=112238.0,iteration=21,gap=137.6212050641487,delta=65004.0,timestamp=6.4014958
fitness=99946.0,iteration=22,gap=111.59757801583605,delta=52712.0,timestamp=6.6406067
fitness=90776.0,iteration=27,gap=92.18359656179871,delta=43542.0,timestamp=7.7979991
fitness=85676.0,iteration=30,gap=81.38628953719778,delta=38442.0,timestamp=8.4792694
fitness=82796.0,iteration=32,gap=75.28898674683491,delta=35562.0,timestamp=8.9446225
fitness=80362.0,iteration=33,gap=70.13591904136851,delta=33128.0,timestamp=9.1695896
fitness=80356.0,iteration=35,gap=70.12321632722191,delta=33122.0,timestamp=9.612141
fitness=77966.0,iteration=36,gap=65.0633018588305,delta=30732.0,timestamp=9.8332251
fitness=74708.0,iteration=37,gap=58.1657280772325,delta=27474.0,timestamp=10.0550596
fitness=74456.0,iteration=39,gap=57.63221408307575,delta=27222.0,timestamp=10.4965734
fitness=71122.0,iteration=40,gap=50.57373925562095,delta=23888.0,timestamp=10.7377368
fitness=71088.0,iteration=41,gap=50.50175720879027,delta=23854.0,timestamp=10.9593922
fitness=67876.0,iteration=42,gap=43.70157090231613,delta=20642.0,timestamp=11.1854886
fitness=65486.0,iteration=43,gap=38.641656433924716,delta=18252.0,timestamp=11.415068
fitness=65400.0,iteration=45,gap=38.4595841978236,delta=18166.0,timestamp=11.8621493
fitness=64114.0,iteration=46,gap=35.736969132404624,delta=16880.0,timestamp=12.0718122
fitness=62718.0,iteration=47,gap=32.78147097429817,delta=15484.0,timestamp=12.2862822
fitness=62410.0,iteration=48,gap=32.129398314773255,delta=15176.0,timestamp=12.4992965
fitness=60080.0,iteration=50,gap=27.196510987847738,delta=12846.0,timestamp=12.9354324
fitness=59392.0,iteration=51,gap=25.739933099038826,delta=12158.0,timestamp=13.1635864
fitness=58610.0,iteration=52,gap=24.084346021933353,delta=11376.0,timestamp=13.3798697
fitness=57612.0,iteration=53,gap=21.971461235550663,delta=10378.0,timestamp=13.6083584
fitness=55746.0,iteration=54,gap=18.020917135961383,delta=8512.0,timestamp=13.8425444
fitness=55182.0,iteration=55,gap=16.826862006181987,delta=7948.0,timestamp=14.057758
fitness=54626.0,iteration=57,gap=15.649743828598044,delta=7392.0,timestamp=14.4836291
fitness=54122.0,iteration=59,gap=14.582715840284541,delta=6888.0,timestamp=14.9110181
fitness=54082.0,iteration=62,gap=14.498031079307278,delta=6848.0,timestamp=15.5466203
fitness=53178.0,iteration=63,gap=12.584155481221154,delta=5944.0,timestamp=15.7497765
fitness=52950.0,iteration=64,gap=12.101452343650761,delta=5716.0,timestamp=15.9529964
fitness=52774.0,iteration=65,gap=11.728839395350807,delta=5540.0,timestamp=16.1559505
fitness=52664.0,iteration=66,gap=11.495956302663336,delta=5430.0,timestamp=16.3652986
fitness=52656.0,iteration=67,gap=11.479019350467883,delta=5422.0,timestamp=16.5846036
fitness=52638.0,iteration=70,gap=11.440911208028115,delta=5404.0,timestamp=17.255079
fitness=52352.0,iteration=71,gap=10.83541516704069,delta=5118.0,timestamp=17.4611353
fitness=52130.0,iteration=74,gap=10.365414743616887,delta=4896.0,timestamp=18.0882173
fitness=51826.0,iteration=75,gap=9.721810560189693,delta=4592.0,timestamp=18.2998327
fitness=51322.0,iteration=112,gap=8.65478257187619,delta=4088.0,timestamp=26.3751771
fitness=51298.0,iteration=164,gap=8.603971715289834,delta=4064.0,timestamp=37.6879683
fitness=50098.0,iteration=169,gap=6.06342888597197,delta=2864.0,timestamp=38.7455555
fitness=50074.0,iteration=170,gap=6.012618029385612,delta=2840.0,timestamp=38.9560208
