optimum=53538
execution_time=300.0589991,start_time=1.479288,stop_time=301.5382871
[(55, 54), (22, 21), (24, 23), (76, 75), (19, 15), (3, 2), (73, 47), (42, 20), (58, 59), (66, 65), (26, 27), (6, 4), (39, 41), (1, 0), (45, 46), (29, 28), (9, 11), (35, 31), (30, 25), (71, 72), (44, 43), (56, 57), (5, 7), (10, 8), (12, 77), (18, 14), (50, 51), (17, 16), (79, 13), (38, 40), (34, 33), (49, 48), (78, 74), (52, 53), (70, 69), (64, 63), (60, 67), (36, 32), (61, 62), (68, 37)]
fitness=217104.0,iteration=0,gap=305.51384063655723,delta=163566.0,timestamp=1.6875753
fitness=216920.0,iteration=5,gap=305.17015951286936,delta=163382.0,timestamp=2.7563649
fitness=208838.0,iteration=6,gap=290.0743397213194,delta=155300.0,timestamp=2.9712887
fitness=185792.0,iteration=7,gap=247.02827897941648,delta=132254.0,timestamp=3.1979433
fitness=181604.0,iteration=12,gap=239.20579775113004,delta=128066.0,timestamp=4.2913931
fitness=177200.0,iteration=14,gap=230.97986476894917,delta=123662.0,timestamp=4.7092071
fitness=169320.0,iteration=15,gap=216.26134708057828,delta=115782.0,timestamp=4.927788
fitness=163076.0,iteration=16,gap=204.59860286151894,delta=109538.0,timestamp=5.1431369
fitness=159188.0,iteration=17,gap=197.33647129141917,delta=105650.0,timestamp=5.3631552
fitness=155552.0,iteration=19,gap=190.54503343419626,delta=102014.0,timestamp=5.7880189
fitness=150332.0,iteration=20,gap=180.79494938174753,delta=96794.0,timestamp=5.9869236
fitness=144238.0,iteration=21,gap=169.41237999178153,delta=90700.0,timestamp=6.1878458
fitness=141630.0,iteration=22,gap=164.5410736299451,delta=88092.0,timestamp=6.3969824
fitness=136344.0,iteration=24,gap=154.6677126526953,delta=82806.0,timestamp=6.8336726
fitness=135602.0,iteration=26,gap=153.28178116478014,delta=82064.0,timestamp=7.2333098
fitness=130708.0,iteration=27,gap=144.14061040756098,delta=77170.0,timestamp=7.4348666
fitness=122212.0,iteration=28,gap=128.27150808771339,delta=68674.0,timestamp=7.6382793
fitness=114514.0,iteration=32,gap=113.89293585864246,delta=60976.0,timestamp=8.5228725
fitness=106662.0,iteration=34,gap=99.22671747170234,delta=53124.0,timestamp=9.0080612
fitness=106468.0,iteration=36,gap=98.86435802607494,delta=52930.0,timestamp=9.4273195
fitness=106098.0,iteration=38,gap=98.17326011431133,delta=52560.0,timestamp=9.859922
fitness=100588.0,iteration=39,gap=87.88150472561546,delta=47050.0,timestamp=10.0756678
fitness=97186.0,iteration=41,gap=81.52713960177817,delta=43648.0,timestamp=10.5046766
fitness=90936.0,iteration=42,gap=69.85318838955509,delta=37398.0,timestamp=10.6933767
fitness=86702.0,iteration=43,gap=61.94478688034667,delta=33164.0,timestamp=10.897972
fitness=81302.0,iteration=46,gap=51.85849303298592,delta=27764.0,timestamp=11.5186775
fitness=80706.0,iteration=47,gap=50.74526504538832,delta=27168.0,timestamp=11.738586
fitness=80480.0,iteration=48,gap=50.32313496955434,delta=26942.0,timestamp=11.9677706
fitness=79826.0,iteration=49,gap=49.10157271470731,delta=26288.0,timestamp=12.193568
fitness=79078.0,iteration=50,gap=47.704434233628454,delta=25540.0,timestamp=12.4092792
fitness=78574.0,iteration=52,gap=46.76304680787478,delta=25036.0,timestamp=12.8872884
fitness=73738.0,iteration=53,gap=37.73021031790504,delta=20200.0,timestamp=13.1013046
fitness=71250.0,iteration=57,gap=33.083043819343274,delta=17712.0,timestamp=13.9923864
fitness=71090.0,iteration=58,gap=32.78419066831036,delta=17552.0,timestamp=14.2365319
fitness=70924.0,iteration=59,gap=32.47413052411371,delta=17386.0,timestamp=14.4739779
fitness=70318.0,iteration=60,gap=31.342224214576564,delta=16780.0,timestamp=14.6896728
fitness=68034.0,iteration=61,gap=27.076095483581753,delta=14496.0,timestamp=14.9171915
fitness=67078.0,iteration=62,gap=25.290447906160114,delta=13540.0,timestamp=15.1473956
fitness=66476.0,iteration=64,gap=24.166012925398782,delta=12938.0,timestamp=15.6213619
fitness=66280.0,iteration=65,gap=23.799917815383466,delta=12742.0,timestamp=15.8601502
fitness=66228.0,iteration=67,gap=23.70279054129777,delta=12690.0,timestamp=16.3028283
fitness=65738.0,iteration=68,gap=22.787552766259477,delta=12200.0,timestamp=16.5139373
fitness=63888.0,iteration=69,gap=19.332063207441443,delta=10350.0,timestamp=16.7404234
fitness=60774.0,iteration=72,gap=13.51563375546341,delta=7236.0,timestamp=17.4088159
fitness=60638.0,iteration=75,gap=13.261608577085434,delta=7100.0,timestamp=18.0729039
fitness=60502.0,iteration=79,gap=13.007583398707458,delta=6964.0,timestamp=18.9692725
fitness=60166.0,iteration=81,gap=12.379991781538347,delta=6628.0,timestamp=19.4527835
fitness=59928.0,iteration=82,gap=11.935447719376892,delta=6390.0,timestamp=19.6994862
fitness=59058.0,iteration=85,gap=10.310433710635436,delta=5520.0,timestamp=20.4042891
fitness=59044.0,iteration=86,gap=10.284284059920058,delta=5506.0,timestamp=20.6549959
fitness=57840.0,iteration=89,gap=8.0354140983974,delta=4302.0,timestamp=21.3471668
fitness=57752.0,iteration=91,gap=7.871044865329299,delta=4214.0,timestamp=21.8385809
fitness=57506.0,iteration=92,gap=7.4115581456161985,delta=3968.0,timestamp=22.0669966
fitness=57500.0,iteration=98,gap=7.400351152452464,delta=3962.0,timestamp=23.4648436
fitness=57280.0,iteration=99,gap=6.98942806978221,delta=3742.0,timestamp=23.6920974
fitness=57032.0,iteration=101,gap=6.526205685681198,delta=3494.0,timestamp=24.1505148
fitness=56776.0,iteration=105,gap=6.048040644028541,delta=3238.0,timestamp=25.0577667
fitness=56428.0,iteration=117,gap=5.398035040531958,delta=2890.0,timestamp=27.8678837
fitness=56132.0,iteration=119,gap=4.8451567111210725,delta=2594.0,timestamp=28.334128
fitness=55784.0,iteration=123,gap=4.195151107624491,delta=2246.0,timestamp=29.2963489
fitness=55776.0,iteration=125,gap=4.180208450072845,delta=2238.0,timestamp=29.7552973
