optimum=42382
execution_time=39.239868,start_time=1.3901999,stop_time=40.6300679
[(13, 8), (24, 23), (14, 15), (50, 49), (25, 26), (4, 6), (54, 53), (27, 58), (52, 55), (41, 42), (3, 2), (34, 33), (45, 44), (1, 0), (36, 35), (18, 19), (22, 56), (59, 57), (43, 46), (40, 39), (7, 5), (28, 29), (10, 12), (11, 9), (47, 51), (21, 17), (20, 16), (38, 37), (32, 48), (31, 30)]
fitness=165106.0,iteration=0,gap=289.5663253267897,delta=122724.0,timestamp=1.5836087
fitness=155310.0,iteration=1,gap=266.45273937048745,delta=112928.0,timestamp=1.7786448
fitness=151594.0,iteration=2,gap=257.68486621679017,delta=109212.0,timestamp=1.9885299
fitness=147620.0,iteration=3,gap=248.30824406587703,delta=105238.0,timestamp=2.1780016
fitness=135330.0,iteration=4,gap=219.3100844698221,delta=92948.0,timestamp=2.3891846
fitness=128786.0,iteration=6,gap=203.86956726912365,delta=86404.0,timestamp=2.7988299
fitness=127086.0,iteration=8,gap=199.85843046576377,delta=84704.0,timestamp=3.1897064
fitness=122282.0,iteration=10,gap=188.5234297579161,delta=79900.0,timestamp=3.5965731
fitness=116370.0,iteration=11,gap=174.57411165117267,delta=73988.0,timestamp=3.8132456
fitness=112352.0,iteration=12,gap=165.09367184181966,delta=69970.0,timestamp=4.0107376
fitness=101246.0,iteration=13,gap=138.88915105469303,delta=58864.0,timestamp=4.2173352
fitness=98388.0,iteration=15,gap=132.14572224057383,delta=56006.0,timestamp=4.6239158
fitness=94474.0,iteration=18,gap=122.91066962389694,delta=52092.0,timestamp=5.2121714
fitness=88800.0,iteration=20,gap=109.5229106696239,delta=46418.0,timestamp=5.6196828
fitness=87436.0,iteration=22,gap=106.30456325798687,delta=45054.0,timestamp=6.0123597
fitness=86512.0,iteration=23,gap=104.12439243074891,delta=44130.0,timestamp=6.2286887
fitness=82648.0,iteration=24,gap=95.00731442593555,delta=40266.0,timestamp=6.4173413
fitness=81492.0,iteration=27,gap=92.27974139965079,delta=39110.0,timestamp=6.9957873
fitness=80258.0,iteration=28,gap=89.36812797885895,delta=37876.0,timestamp=7.1924081
fitness=77394.0,iteration=29,gap=82.61054221131613,delta=35012.0,timestamp=7.3788629
fitness=75400.0,iteration=31,gap=77.90571469019866,delta=33018.0,timestamp=7.7598821
fitness=70408.0,iteration=32,gap=66.12712944174413,delta=28026.0,timestamp=7.9523231
fitness=69722.0,iteration=33,gap=64.50851776697655,delta=27340.0,timestamp=8.1468529
fitness=65182.0,iteration=34,gap=53.796423009768304,delta=22800.0,timestamp=8.3521134
fitness=64102.0,iteration=37,gap=51.24817139351612,delta=21720.0,timestamp=8.9644314
fitness=64046.0,iteration=39,gap=51.11603982822896,delta=21664.0,timestamp=9.3385395
fitness=60348.0,iteration=40,gap=42.39063753480251,delta=17966.0,timestamp=9.5379689
fitness=57916.0,iteration=43,gap=36.65235241376056,delta=15534.0,timestamp=10.1424156
fitness=56096.0,iteration=45,gap=32.35807654192818,delta=13714.0,timestamp=10.5415498
fitness=54512.0,iteration=47,gap=28.620640838091642,delta=12130.0,timestamp=10.9435535
fitness=52632.0,iteration=50,gap=24.18479543202303,delta=10250.0,timestamp=11.5300762
fitness=52542.0,iteration=52,gap=23.97244113066868,delta=10160.0,timestamp=11.9159887
fitness=52140.0,iteration=53,gap=23.023925251285924,delta=9758.0,timestamp=12.1053988
fitness=52072.0,iteration=55,gap=22.863479779151525,delta=9690.0,timestamp=12.4976074
fitness=51796.0,iteration=56,gap=22.212259921664856,delta=9414.0,timestamp=12.6929398
fitness=51074.0,iteration=57,gap=20.508706526355528,delta=8692.0,timestamp=12.8842944
fitness=50314.0,iteration=58,gap=18.71549242602992,delta=7932.0,timestamp=13.0935115
fitness=49396.0,iteration=60,gap=16.549478552215565,delta=7014.0,timestamp=13.4986292
fitness=48464.0,iteration=62,gap=14.35043178707942,delta=6082.0,timestamp=13.8925375
fitness=47812.0,iteration=64,gap=12.81204284837903,delta=5430.0,timestamp=14.2740044
fitness=46880.0,iteration=66,gap=10.612996083242885,delta=4498.0,timestamp=14.674501
fitness=46372.0,iteration=71,gap=9.414374026709451,delta=3990.0,timestamp=15.6823508
fitness=46242.0,iteration=76,gap=9.107640035864282,delta=3860.0,timestamp=16.6877389
fitness=45302.0,iteration=80,gap=6.889717332829975,delta=2920.0,timestamp=17.6191125
fitness=44802.0,iteration=82,gap=5.709971214194706,delta=2420.0,timestamp=18.0290002
fitness=44106.0,iteration=87,gap=4.06776461705441,delta=1724.0,timestamp=19.0518325
fitness=43312.0,iteration=118,gap=2.194327780661602,delta=930.0,timestamp=25.2848255
fitness=43008.0,iteration=135,gap=1.4770421405313576,delta=626.0,timestamp=28.71068
fitness=42482.0,iteration=145,gap=0.23594922372705396,delta=100.0,timestamp=30.6989779
fitness=42474.0,iteration=163,gap=0.21707328582888963,delta=92.0,timestamp=34.379359
fitness=42382.0,iteration=194,gap=0.0,delta=0.0,timestamp=40.630028
