optimum=42382
execution_time=26.4462511,start_time=1.0569302,stop_time=27.5031813
[(27, 58), (10, 12), (56, 22), (0, 1), (49, 50), (2, 3), (32, 48), (24, 23), (59, 57), (42, 41), (7, 6), (17, 21), (28, 30), (51, 47), (44, 45), (53, 54), (33, 34), (46, 43), (39, 40), (38, 37), (8, 13), (20, 16), (11, 9), (25, 26), (55, 52), (15, 14), (5, 4), (19, 18), (35, 36), (29, 31)]
fitness=153358.0,iteration=0,gap=261.84701052333537,delta=110976.0,timestamp=1.2128368
fitness=147316.0,iteration=1,gap=247.59095842574678,delta=104934.0,timestamp=1.3844803
fitness=145364.0,iteration=2,gap=242.98522957859467,delta=102982.0,timestamp=1.5691601
fitness=142462.0,iteration=3,gap=236.1379831060356,delta=100080.0,timestamp=1.7453837
fitness=133246.0,iteration=4,gap=214.3929026473503,delta=90864.0,timestamp=1.9015484
fitness=128510.0,iteration=5,gap=203.218347411637,delta=86128.0,timestamp=2.0893341
fitness=124914.0,iteration=7,gap=194.73361332641215,delta=82532.0,timestamp=2.4419195
fitness=122778.0,iteration=8,gap=189.6937379076023,delta=80396.0,timestamp=2.5984029
fitness=122346.0,iteration=10,gap=188.6744372611014,delta=79964.0,timestamp=2.941911
fitness=110394.0,iteration=11,gap=160.47378604124393,delta=68012.0,timestamp=3.1402566
fitness=102696.0,iteration=13,gap=142.3104147987353,delta=60314.0,timestamp=3.4780335
fitness=97398.0,iteration=15,gap=129.809824925676,delta=55016.0,timestamp=3.834931
fitness=89426.0,iteration=18,gap=110.99995281015525,delta=47044.0,timestamp=4.3661708
fitness=87504.0,iteration=22,gap=106.46500873012128,delta=45122.0,timestamp=5.0292952
fitness=80750.0,iteration=24,gap=90.52899815959606,delta=38368.0,timestamp=5.3549829
fitness=77040.0,iteration=25,gap=81.77528195932236,delta=34658.0,timestamp=5.5097718
fitness=75364.0,iteration=27,gap=77.82077296965693,delta=32982.0,timestamp=5.841168
fitness=71826.0,iteration=28,gap=69.47288943419376,delta=29444.0,timestamp=6.0141313
fitness=64948.0,iteration=29,gap=53.24430182624699,delta=22566.0,timestamp=6.1824903
fitness=61812.0,iteration=31,gap=45.84493417016658,delta=19430.0,timestamp=6.5089177
fitness=61694.0,iteration=35,gap=45.56651408616866,delta=19312.0,timestamp=7.1857991
fitness=59942.0,iteration=36,gap=41.432683686470675,delta=17560.0,timestamp=7.3546861
fitness=58650.0,iteration=37,gap=38.38421971591713,delta=16268.0,timestamp=7.5255201
fitness=58324.0,iteration=39,gap=37.615025246566944,delta=15942.0,timestamp=7.8727321
fitness=52136.0,iteration=40,gap=23.01448728233684,delta=9754.0,timestamp=8.0254005
fitness=51294.0,iteration=41,gap=21.027794818555044,delta=8912.0,timestamp=8.1851491
fitness=51138.0,iteration=43,gap=20.659714029540844,delta=8756.0,timestamp=8.5348329
fitness=50180.0,iteration=44,gap=18.399320466235665,delta=7798.0,timestamp=8.7034653
fitness=48372.0,iteration=46,gap=14.133358501250532,delta=5990.0,timestamp=9.0723717
fitness=46924.0,iteration=47,gap=10.71681374168279,delta=4542.0,timestamp=9.260314
fitness=46860.0,iteration=50,gap=10.565806238497476,delta=4478.0,timestamp=9.7970456
fitness=46420.0,iteration=51,gap=9.527629654098439,delta=4038.0,timestamp=9.9666003
fitness=45096.0,iteration=53,gap=6.403661931952244,delta=2714.0,timestamp=10.326742
fitness=43418.0,iteration=80,gap=2.444433957812279,delta=1036.0,timestamp=15.1034387
fitness=43114.0,iteration=99,gap=1.7271483176820348,delta=732.0,timestamp=18.5065929
fitness=42966.0,iteration=109,gap=1.3779434665659949,delta=584.0,timestamp=20.1826402
fitness=42958.0,iteration=139,gap=1.3590675286678306,delta=576.0,timestamp=25.2489031
fitness=42382.0,iteration=152,gap=0.0,delta=0.0,timestamp=27.5031446
