optimum=83495
execution_time=300.1437831,start_time=3.4204582,stop_time=303.5642413
[(88, 74), (41, 97), (48, 49), (10, 12), (18, 2), (40, 39), (70, 72), (79, 78), (14, 15), (76, 75), (46, 47), (54, 57), (60, 53), (7, 8), (43, 42), (32, 31), (66, 67), (0, 1), (20, 19), (5, 6), (63, 64), (61, 62), (36, 35), (3, 4), (90, 89), (84, 85), (96, 94), (55, 56), (52, 51), (44, 45), (95, 99), (91, 93), (13, 81), (65, 68), (87, 83), (92, 98), (28, 27), (69, 71), (73, 50), (86, 82), (29, 30), (58, 59), (37, 38), (9, 11), (33, 34), (22, 23), (16, 17), (21, 26), (24, 25), (77, 80)]
fitness=340009.0,iteration=0,gap=307.2207916641715,delta=256514.0,timestamp=3.7275895
fitness=332107.0,iteration=2,gap=297.7567519013114,delta=248612.0,timestamp=4.3566428
fitness=309847.0,iteration=3,gap=271.0964728426852,delta=226352.0,timestamp=4.6732089
fitness=309123.0,iteration=4,gap=270.2293550512007,delta=225628.0,timestamp=5.0022095
fitness=295053.0,iteration=5,gap=253.37804658961613,delta=211558.0,timestamp=5.3079247
fitness=294919.0,iteration=7,gap=253.21755793760104,delta=211424.0,timestamp=5.9553886
fitness=277593.0,iteration=9,gap=232.46661476735136,delta=194098.0,timestamp=6.5815339
fitness=268277.0,iteration=11,gap=221.30906042277982,delta=184782.0,timestamp=7.2031841
fitness=267445.0,iteration=13,gap=220.31259356847715,delta=183950.0,timestamp=7.864487
fitness=253953.0,iteration=14,gap=204.15354212827114,delta=170458.0,timestamp=8.1654971
fitness=247655.0,iteration=15,gap=196.6105754835619,delta=164160.0,timestamp=8.4835768
fitness=240691.0,iteration=17,gap=188.26995628480748,delta=157196.0,timestamp=9.1192038
fitness=239307.0,iteration=19,gap=186.61237199832325,delta=155812.0,timestamp=9.7984846
fitness=232215.0,iteration=20,gap=178.1184502065992,delta=148720.0,timestamp=10.1204736
fitness=229335.0,iteration=21,gap=174.66914186478232,delta=145840.0,timestamp=10.4333896
fitness=228431.0,iteration=23,gap=173.58644230193426,delta=144936.0,timestamp=11.0674206
fitness=217837.0,iteration=24,gap=160.89825738068149,delta=134342.0,timestamp=11.3921657
fitness=214523.0,iteration=25,gap=156.92915743457692,delta=131028.0,timestamp=11.7331639
fitness=204787.0,iteration=27,gap=145.26857895682377,delta=121292.0,timestamp=12.3814425
fitness=203169.0,iteration=31,gap=143.3307383675669,delta=119674.0,timestamp=13.655717
fitness=201557.0,iteration=32,gap=141.40008383735554,delta=118062.0,timestamp=13.9873996
fitness=195001.0,iteration=33,gap=133.54811665369184,delta=111506.0,timestamp=14.3084716
fitness=187457.0,iteration=34,gap=124.51284508054374,delta=103962.0,timestamp=14.6253422
fitness=180191.0,iteration=37,gap=115.81052757650158,delta=96696.0,timestamp=15.5854169
fitness=177665.0,iteration=38,gap=112.78519671836638,delta=94170.0,timestamp=15.9313211
fitness=174717.0,iteration=41,gap=109.25444637403436,delta=91222.0,timestamp=16.8661895
fitness=169435.0,iteration=42,gap=102.92831906102163,delta=85940.0,timestamp=17.1786666
fitness=167539.0,iteration=43,gap=100.65752440265885,delta=84044.0,timestamp=17.5022501
fitness=161799.0,iteration=44,gap=93.78286124917659,delta=78304.0,timestamp=17.8257754
fitness=157431.0,iteration=47,gap=88.55141026408766,delta=73936.0,timestamp=18.7868031
fitness=153405.0,iteration=48,gap=83.72956464458949,delta=69910.0,timestamp=19.0815301
fitness=153011.0,iteration=50,gap=83.25768010060483,delta=69516.0,timestamp=19.6959233
fitness=149165.0,iteration=51,gap=78.65141625247021,delta=65670.0,timestamp=20.0181012
fitness=146537.0,iteration=52,gap=75.50392239056231,delta=63042.0,timestamp=20.3238004
fitness=144303.0,iteration=53,gap=72.82831307263908,delta=60808.0,timestamp=20.5990249
fitness=140227.0,iteration=54,gap=67.94658362776214,delta=56732.0,timestamp=20.8066753
fitness=138599.0,iteration=55,gap=65.99676627342954,delta=55104.0,timestamp=21.1124644
fitness=135647.0,iteration=57,gap=62.46122522306725,delta=52152.0,timestamp=21.6577002
fitness=134627.0,iteration=60,gap=61.239595185340434,delta=51132.0,timestamp=22.4504431
fitness=133749.0,iteration=61,gap=60.188035211689325,delta=50254.0,timestamp=22.7423615
fitness=127077.0,iteration=62,gap=52.1971375531469,delta=43582.0,timestamp=23.036933
fitness=126779.0,iteration=64,gap=51.84022995388945,delta=43284.0,timestamp=23.6707866
fitness=126269.0,iteration=65,gap=51.22941493502605,delta=42774.0,timestamp=23.9623248
fitness=124811.0,iteration=66,gap=49.48320258698126,delta=41316.0,timestamp=24.237977
fitness=122423.0,iteration=67,gap=46.623151086891426,delta=38928.0,timestamp=24.5328306
fitness=117223.0,iteration=68,gap=40.39523324749985,delta=33728.0,timestamp=24.7688424
fitness=115469.0,iteration=72,gap=38.294508653212766,delta=31974.0,timestamp=25.7471908
fitness=115375.0,iteration=73,gap=38.18192706150069,delta=31880.0,timestamp=25.9257191
fitness=114673.0,iteration=74,gap=37.341158153182825,delta=31178.0,timestamp=26.1065113
fitness=112413.0,iteration=75,gap=34.63440924606264,delta=28918.0,timestamp=26.3249977
fitness=110947.0,iteration=77,gap=32.87861548595724,delta=27452.0,timestamp=26.7990893
fitness=108975.0,iteration=78,gap=30.516797413018743,delta=25480.0,timestamp=27.0319249
fitness=108135.0,iteration=79,gap=29.510749146655492,delta=24640.0,timestamp=27.3062406
fitness=107985.0,iteration=83,gap=29.331097670519192,delta=24490.0,timestamp=28.2393338
fitness=106497.0,iteration=87,gap=27.54895502724714,delta=23002.0,timestamp=29.1496208
fitness=105873.0,iteration=91,gap=26.801604886520153,delta=22378.0,timestamp=30.1846228
fitness=104385.0,iteration=94,gap=25.019462243248096,delta=20890.0,timestamp=30.8852612
fitness=102875.0,iteration=97,gap=23.21097071680939,delta=19380.0,timestamp=31.7570525
fitness=102851.0,iteration=102,gap=23.182226480627584,delta=19356.0,timestamp=33.2094269
fitness=102527.0,iteration=103,gap=22.794179292173183,delta=19032.0,timestamp=33.4716312
fitness=102503.0,iteration=106,gap=22.765435055991375,delta=19008.0,timestamp=34.2970612
fitness=101261.0,iteration=114,gap=21.27792083358285,delta=17766.0,timestamp=36.6089892
fitness=101027.0,iteration=117,gap=20.99766453081023,delta=17532.0,timestamp=37.4729011
fitness=100223.0,iteration=120,gap=20.034732618719683,delta=16728.0,timestamp=38.342332
fitness=99989.0,iteration=121,gap=19.754476315947063,delta=16494.0,timestamp=38.6517105
fitness=99831.0,iteration=130,gap=19.565243427750165,delta=16336.0,timestamp=41.1841519
fitness=99657.0,iteration=140,gap=19.356847715432064,delta=16162.0,timestamp=43.9498889
fitness=99649.0,iteration=155,gap=19.34726630337146,delta=16154.0,timestamp=47.720881
fitness=96511.0,iteration=160,gap=15.588957422600155,delta=13016.0,timestamp=49.0039793
fitness=96007.0,iteration=165,gap=14.985328462782203,delta=12512.0,timestamp=50.1713954
fitness=93657.0,iteration=198,gap=12.170788669980238,delta=10162.0,timestamp=57.5483342
fitness=92213.0,iteration=201,gap=10.441343793041499,delta=8718.0,timestamp=58.3450402
fitness=89863.0,iteration=203,gap=7.626804000239535,delta=6368.0,timestamp=59.0700263
fitness=88783.0,iteration=209,gap=6.333313372058207,delta=5288.0,timestamp=60.7313343
fitness=88489.0,iteration=266,gap=5.981196478831068,delta=4994.0,timestamp=71.5477311
fitness=88365.0,iteration=284,gap=5.83268459189173,delta=4870.0,timestamp=74.6090502
fitness=87717.0,iteration=324,gap=5.056590214982934,delta=4222.0,timestamp=81.53317
fitness=86771.0,iteration=427,gap=3.923588238816696,delta=3276.0,timestamp=99.2944466
fitness=86755.0,iteration=443,gap=3.9044254146954906,delta=3260.0,timestamp=101.9237281
fitness=84655.0,iteration=450,gap=1.3893047487873524,delta=1160.0,timestamp=103.3977081
