optimum=34198
execution_time=20.9878669,start_time=1.3005749,stop_time=22.2884418
[(23, 24), (22, 25), (45, 46), (33, 32), (18, 19), (30, 31), (35, 34), (15, 14), (40, 41), (9, 5), (4, 6), (3, 2), (48, 26), (47, 21), (20, 17), (10, 11), (36, 38), (16, 27), (29, 28), (44, 49), (37, 39), (0, 1), (43, 42), (7, 8), (13, 12)]
fitness=133580.0,iteration=0,gap=290.60763787355984,delta=99382.0,timestamp=1.5846858
fitness=122894.0,iteration=1,gap=259.3601965027195,delta=88696.0,timestamp=1.8689294
fitness=116556.0,iteration=3,gap=240.8269489443827,delta=82358.0,timestamp=2.4449442
fitness=103046.0,iteration=4,gap=201.3217147201591,delta=68848.0,timestamp=2.7333402
fitness=102716.0,iteration=5,gap=200.35674600853852,delta=68518.0,timestamp=3.0550491
fitness=96590.0,iteration=8,gap=182.4434177437277,delta=62392.0,timestamp=3.9302394
fitness=93100.0,iteration=9,gap=172.2381425814375,delta=58902.0,timestamp=4.2129827
fitness=92306.0,iteration=10,gap=169.9163693783262,delta=58108.0,timestamp=4.4952095
fitness=87484.0,iteration=11,gap=155.81612959822212,delta=53286.0,timestamp=4.7890328
fitness=84008.0,iteration=12,gap=145.65179250248553,delta=49810.0,timestamp=5.0857161
fitness=81912.0,iteration=14,gap=139.52277910988946,delta=47714.0,timestamp=5.6634931
fitness=75618.0,iteration=15,gap=121.11819404643546,delta=41420.0,timestamp=5.9558544
fitness=74126.0,iteration=17,gap=116.75536581086614,delta=39928.0,timestamp=6.5092313
fitness=71918.0,iteration=19,gap=110.29884788584128,delta=37720.0,timestamp=7.0931872
fitness=71646.0,iteration=20,gap=109.50347973565707,delta=37448.0,timestamp=7.3757648
fitness=62780.0,iteration=22,gap=83.5779870167846,delta=28582.0,timestamp=7.9812938
fitness=62036.0,iteration=25,gap=81.40242119422189,delta=27838.0,timestamp=8.8486053
fitness=58466.0,iteration=28,gap=70.96321422305398,delta=24268.0,timestamp=9.7034157
fitness=56470.0,iteration=29,gap=65.12661559155507,delta=22272.0,timestamp=10.0013078
fitness=56154.0,iteration=30,gap=64.20258494648809,delta=21956.0,timestamp=10.2850289
fitness=53468.0,iteration=31,gap=56.348324463418905,delta=19270.0,timestamp=10.571096
fitness=51892.0,iteration=32,gap=51.739867828527984,delta=17694.0,timestamp=10.8649416
fitness=44296.0,iteration=33,gap=29.528042575589215,delta=10098.0,timestamp=11.1339235
fitness=44106.0,iteration=38,gap=28.97245452950465,delta=9908.0,timestamp=12.5042755
fitness=41510.0,iteration=39,gap=21.38136733142289,delta=7312.0,timestamp=12.7753546
fitness=40368.0,iteration=40,gap=18.041990759693547,delta=6170.0,timestamp=13.0450096
fitness=40212.0,iteration=41,gap=17.58582373238201,delta=6014.0,timestamp=13.2975173
fitness=37114.0,iteration=42,gap=8.526814433592609,delta=2916.0,timestamp=13.5595956
fitness=36716.0,iteration=46,gap=7.36300368442599,delta=2518.0,timestamp=14.6541922
fitness=35940.0,iteration=47,gap=5.093865138312182,delta=1742.0,timestamp=14.9123186
fitness=35436.0,iteration=51,gap=3.6200947423825958,delta=1238.0,timestamp=15.7680851
fitness=35158.0,iteration=54,gap=2.8071817065325457,delta=960.0,timestamp=16.4665921
fitness=35084.0,iteration=60,gap=2.590794783320662,delta=886.0,timestamp=17.9770013
fitness=35036.0,iteration=65,gap=2.4504356979940347,delta=838.0,timestamp=19.1571981
fitness=34510.0,iteration=71,gap=0.9123340546230773,delta=312.0,timestamp=20.5144249
fitness=34198.0,iteration=80,gap=0.0,delta=0.0,timestamp=22.2884115
