optimum=34198
execution_time=27.0497559,start_time=1.2861895,stop_time=28.3359454
[(46, 43), (38, 36), (49, 44), (10, 5), (39, 37), (1, 0), (41, 40), (23, 24), (8, 7), (19, 18), (2, 3), (35, 34), (27, 20), (42, 45), (6, 4), (48, 26), (14, 15), (25, 22), (32, 33), (11, 9), (13, 12), (29, 28), (21, 47), (30, 31), (17, 16)]
fitness=128454.0,iteration=0,gap=275.6184572197204,delta=94256.0,timestamp=1.3421391
fitness=126116.0,iteration=1,gap=268.7818001052693,delta=91918.0,timestamp=1.4016917
fitness=124390.0,iteration=2,gap=263.73472132873263,delta=90192.0,timestamp=1.457532
fitness=117332.0,iteration=3,gap=243.09608749049653,delta=83134.0,timestamp=1.5168646
fitness=111678.0,iteration=4,gap=226.56295689806421,delta=77480.0,timestamp=1.5727697
fitness=104568.0,iteration=5,gap=205.77226738405753,delta=70370.0,timestamp=1.6316327
fitness=103568.0,iteration=9,gap=202.84811977308615,delta=69370.0,timestamp=1.857369
fitness=102816.0,iteration=10,gap=200.64916076963564,delta=68618.0,timestamp=1.9099189
fitness=98760.0,iteration=11,gap=188.78881805953566,delta=64562.0,timestamp=1.9619945
fitness=92008.0,iteration=12,gap=169.04497339025676,delta=57810.0,timestamp=2.0186464
fitness=87410.0,iteration=14,gap=155.59974267501025,delta=53212.0,timestamp=2.1229823
fitness=84920.0,iteration=16,gap=148.31861512369144,delta=50722.0,timestamp=2.2356132
fitness=84056.0,iteration=17,gap=145.79215158781216,delta=49858.0,timestamp=2.291313
fitness=80122.0,iteration=18,gap=134.28855488625067,delta=45924.0,timestamp=2.3530893
fitness=75724.0,iteration=20,gap=121.42815369319844,delta=41526.0,timestamp=2.4697394
fitness=74336.0,iteration=22,gap=117.36943680917014,delta=40138.0,timestamp=2.5747809
fitness=69538.0,iteration=23,gap=103.33937657172933,delta=35340.0,timestamp=2.6324073
fitness=68302.0,iteration=26,gap=99.72513012456868,delta=34104.0,timestamp=2.8068609
fitness=55890.0,iteration=27,gap=63.430609977191644,delta=21692.0,timestamp=2.8681977
fitness=53352.0,iteration=33,gap=56.00912334054623,delta=19154.0,timestamp=3.2022281
fitness=52880.0,iteration=34,gap=54.628925668167724,delta=18682.0,timestamp=3.2610978
fitness=48432.0,iteration=35,gap=41.62231709456694,delta=14234.0,timestamp=3.318015
fitness=46576.0,iteration=45,gap=36.195099128604014,delta=12378.0,timestamp=3.8653885
fitness=45488.0,iteration=46,gap=33.01362652786713,delta=11290.0,timestamp=3.9192916
fitness=44998.0,iteration=48,gap=31.58079419849114,delta=10800.0,timestamp=4.0311753
fitness=44112.0,iteration=49,gap=28.989999415170477,delta=9914.0,timestamp=4.0879156
fitness=41912.0,iteration=51,gap=22.556874671033395,delta=7714.0,timestamp=4.1999261
fitness=40422.0,iteration=57,gap=18.199894730686005,delta=6224.0,timestamp=4.5479913
fitness=39920.0,iteration=59,gap=16.73197262997836,delta=5722.0,timestamp=4.6550361
fitness=39762.0,iteration=73,gap=16.26995730744488,delta=5564.0,timestamp=5.3942674
fitness=37988.0,iteration=109,gap=11.082519445581612,delta=3790.0,timestamp=7.3633166
fitness=37590.0,iteration=124,gap=9.918708696414996,delta=3392.0,timestamp=8.2364485
fitness=36582.0,iteration=141,gap=6.971167904555823,delta=2384.0,timestamp=9.1853794
fitness=36056.0,iteration=198,gap=5.433066261184864,delta=1858.0,timestamp=12.2887589
fitness=35112.0,iteration=219,gap=2.6726709164278613,delta=914.0,timestamp=13.4423406
fitness=35082.0,iteration=255,gap=2.584946488098719,delta=884.0,timestamp=15.3485789
fitness=35008.0,iteration=306,gap=2.3685595648868354,delta=810.0,timestamp=17.6970359
fitness=34804.0,iteration=308,gap=1.7720334522486694,delta=606.0,timestamp=17.8045642
fitness=34730.0,iteration=309,gap=1.5556465290367858,delta=532.0,timestamp=17.8512287
fitness=34246.0,iteration=537,gap=0.14035908532662728,delta=48.0,timestamp=25.9839136
fitness=34198.0,iteration=616,gap=0.0,delta=0.0,timestamp=28.335921
