optimum=34198
execution_time=300.0420854,start_time=1.2467185,stop_time=301.2888039
[(15, 14), (24, 23), (7, 8), (48, 26), (20, 19), (17, 16), (3, 2), (4, 47), (39, 37), (45, 44), (41, 40), (46, 6), (21, 18), (27, 49), (34, 35), (32, 33), (43, 42), (28, 29), (36, 38), (11, 5), (1, 0), (9, 10), (13, 12), (30, 31), (22, 25)]
fitness=124396.0,iteration=0,gap=263.7522662143985,delta=90198.0,timestamp=1.4205722
fitness=116186.0,iteration=2,gap=239.7450143283233,delta=81988.0,timestamp=1.7568646
fitness=113776.0,iteration=4,gap=232.6978185858822,delta=79578.0,timestamp=2.0884666
fitness=106770.0,iteration=5,gap=212.21124042341657,delta=72572.0,timestamp=2.2509171
fitness=105122.0,iteration=6,gap=207.3922451605357,delta=70924.0,timestamp=2.4264787
fitness=101618.0,iteration=7,gap=197.1460319316919,delta=67420.0,timestamp=2.5929803
fitness=91124.0,iteration=8,gap=166.460026902158,delta=56926.0,timestamp=2.7542097
fitness=90114.0,iteration=10,gap=163.5066378150769,delta=55916.0,timestamp=3.1030089
fitness=80562.0,iteration=11,gap=135.57517983507807,delta=46364.0,timestamp=3.281815
fitness=77110.0,iteration=14,gap=125.4810222820048,delta=42912.0,timestamp=3.8156797
fitness=76974.0,iteration=15,gap=125.08333820691269,delta=42776.0,timestamp=3.9825579
fitness=72810.0,iteration=16,gap=112.90718755482776,delta=38612.0,timestamp=4.1695583
fitness=72504.0,iteration=17,gap=112.01239838587051,delta=38306.0,timestamp=4.3465862
fitness=67684.0,iteration=19,gap=97.91800690098836,delta=33486.0,timestamp=4.6989347
fitness=65434.0,iteration=20,gap=91.33867477630271,delta=31236.0,timestamp=4.8718293
fitness=64658.0,iteration=21,gap=89.0695362301889,delta=30460.0,timestamp=5.0514841
fitness=62764.0,iteration=23,gap=83.53120065500906,delta=28566.0,timestamp=5.3902194
fitness=58558.0,iteration=24,gap=71.23223580326335,delta=24360.0,timestamp=5.5595964
fitness=51646.0,iteration=28,gap=51.020527516229016,delta=17448.0,timestamp=6.2581834
fitness=46574.0,iteration=31,gap=36.18925083338207,delta=12376.0,timestamp=6.7877638
fitness=42408.0,iteration=35,gap=24.00725188607521,delta=8210.0,timestamp=7.4622907
fitness=41184.0,iteration=37,gap=20.428095210246212,delta=6986.0,timestamp=7.7861021
fitness=40790.0,iteration=39,gap=19.27598105152348,delta=6592.0,timestamp=8.1265806
fitness=39566.0,iteration=40,gap=15.696824375694485,delta=5368.0,timestamp=8.3035198
fitness=39062.0,iteration=43,gap=14.223053979764899,delta=4864.0,timestamp=8.8386438
fitness=38536.0,iteration=48,gap=12.68495233639394,delta=4338.0,timestamp=9.6750891
fitness=38032.0,iteration=52,gap=11.211181940464353,delta=3834.0,timestamp=10.3628695
fitness=37766.0,iteration=57,gap=10.43335867594596,delta=3568.0,timestamp=11.2253489
fitness=36326.0,iteration=67,gap=6.222586116147143,delta=2128.0,timestamp=12.8484116
fitness=34838.0,iteration=76,gap=1.8714544710216972,delta=640.0,timestamp=14.30541
fitness=34830.0,iteration=90,gap=1.8480612901339262,delta=632.0,timestamp=16.4730803
fitness=34764.0,iteration=91,gap=1.6550675478098136,delta=566.0,timestamp=16.6340433
fitness=34756.0,iteration=95,gap=1.6316743669220424,delta=558.0,timestamp=17.2573715
