optimum=83495
execution_time=356.4830678,start_time=3.5141576,stop_time=359.9972254
[(96, 93), (34, 33), (3, 60), (18, 25), (99, 27), (54, 56), (43, 42), (30, 31), (50, 49), (77, 79), (72, 70), (1, 0), (48, 52), (38, 37), (17, 16), (78, 80), (22, 35), (12, 7), (5, 6), (44, 45), (58, 59), (63, 66), (91, 41), (10, 11), (83, 88), (76, 75), (57, 28), (84, 85), (74, 98), (15, 14), (69, 51), (9, 8), (2, 64), (4, 95), (46, 13), (73, 71), (55, 53), (23, 21), (87, 86), (36, 32), (67, 65), (89, 81), (62, 68), (82, 92), (61, 90), (47, 97), (24, 26), (19, 20), (40, 39), (94, 29)]
fitness=364973.0,iteration=0,gap=337.1195879992814,delta=281478.0,timestamp=3.5353044
fitness=359843.0,iteration=1,gap=330.9755075154201,delta=276348.0,timestamp=3.5549095
fitness=347671.0,iteration=2,gap=316.39738906521353,delta=264176.0,timestamp=3.575312
fitness=336499.0,iteration=4,gap=303.01694712258217,delta=253004.0,timestamp=3.6181277
fitness=324315.0,iteration=8,gap=288.4244565542847,delta=240820.0,timestamp=3.7131302
fitness=321029.0,iteration=11,gap=284.4888915503923,delta=237534.0,timestamp=3.7632118
fitness=320689.0,iteration=12,gap=284.0816815378167,delta=237194.0,timestamp=3.7860567
fitness=319415.0,iteration=14,gap=282.55584166716574,delta=235920.0,timestamp=3.8355363
fitness=318597.0,iteration=15,gap=281.5761422839691,delta=235102.0,timestamp=3.8832309
fitness=316273.0,iteration=17,gap=278.7927420803641,delta=232778.0,timestamp=3.9306327
fitness=313519.0,iteration=19,gap=275.49434097850167,delta=230024.0,timestamp=3.9918867
fitness=310097.0,iteration=21,gap=271.395891969579,delta=226602.0,timestamp=4.0438532
fitness=299471.0,iteration=22,gap=258.6693814000838,delta=215976.0,timestamp=4.0677196
fitness=296615.0,iteration=26,gap=255.24881729444874,delta=213120.0,timestamp=4.143704
fitness=295719.0,iteration=27,gap=254.17569914366132,delta=212224.0,timestamp=4.1639427
fitness=293777.0,iteration=29,gap=251.84981136595007,delta=210282.0,timestamp=4.2120389
fitness=292815.0,iteration=38,gap=250.6976465656626,delta=209320.0,timestamp=4.4058253
fitness=287173.0,iteration=40,gap=243.94035570992276,delta=203678.0,timestamp=4.441603
fitness=279605.0,iteration=42,gap=234.87633990059288,delta=196110.0,timestamp=4.4889286
fitness=276165.0,iteration=44,gap=230.75633271453378,delta=192670.0,timestamp=4.5291421
fitness=275575.0,iteration=45,gap=230.04970357506437,delta=192080.0,timestamp=4.5550068
fitness=274983.0,iteration=48,gap=229.34067908257978,delta=191488.0,timestamp=4.6276271
fitness=267545.0,iteration=52,gap=220.43236121923465,delta=184050.0,timestamp=4.7099224
fitness=266283.0,iteration=61,gap=218.92089346667464,delta=182788.0,timestamp=4.8815928
fitness=265311.0,iteration=65,gap=217.75675190131145,delta=181816.0,timestamp=4.9795742
fitness=259447.0,iteration=71,gap=210.73357686088988,delta=175952.0,timestamp=5.111533
fitness=258259.0,iteration=95,gap=209.3107371698904,delta=174764.0,timestamp=5.6219929
fitness=254797.0,iteration=98,gap=205.1643811006647,delta=171302.0,timestamp=5.6927953
fitness=247991.0,iteration=100,gap=197.0129947901072,delta=164496.0,timestamp=5.735566
fitness=245477.0,iteration=108,gap=194.00203605006288,delta=161982.0,timestamp=5.8894635
fitness=242603.0,iteration=119,gap=190.55991376729145,delta=159108.0,timestamp=6.1265119
fitness=240589.0,iteration=124,gap=188.14779328103478,delta=157094.0,timestamp=6.2339678
fitness=238489.0,iteration=127,gap=185.63267261512667,delta=154994.0,timestamp=6.294072
fitness=231881.0,iteration=136,gap=177.71842625306903,delta=148386.0,timestamp=6.4704149
fitness=231809.0,iteration=141,gap=177.63219354452363,delta=148314.0,timestamp=6.5789981
fitness=230239.0,iteration=146,gap=175.7518414276304,delta=146744.0,timestamp=6.6853446
fitness=230221.0,iteration=153,gap=175.73028325049404,delta=146726.0,timestamp=6.8237341
fitness=229065.0,iteration=155,gap=174.345769207737,delta=145570.0,timestamp=6.8639068
fitness=224295.0,iteration=164,gap=168.63285226660278,delta=140800.0,timestamp=7.041971
fitness=222291.0,iteration=166,gap=166.2327085454219,delta=138796.0,timestamp=7.0831654
fitness=221003.0,iteration=173,gap=164.6901012036649,delta=137508.0,timestamp=7.2456879
fitness=219933.0,iteration=181,gap=163.4085873405593,delta=136438.0,timestamp=7.4011592
fitness=219619.0,iteration=182,gap=163.03251691718066,delta=136124.0,timestamp=7.4234564
fitness=215115.0,iteration=186,gap=157.63818192706148,delta=131620.0,timestamp=7.5106112
fitness=214999.0,iteration=191,gap=157.49925145218276,delta=131504.0,timestamp=7.613529
fitness=213961.0,iteration=201,gap=156.2560632373196,delta=130466.0,timestamp=7.8138358
fitness=213551.0,iteration=212,gap=155.76501586921373,delta=130056.0,timestamp=8.0402724
fitness=211957.0,iteration=218,gap=153.85591951613867,delta=128462.0,timestamp=8.1637755
fitness=208987.0,iteration=221,gap=150.29882028864003,delta=125492.0,timestamp=8.2268051
fitness=208555.0,iteration=227,gap=149.78142403736751,delta=125060.0,timestamp=8.3536732
fitness=206805.0,iteration=249,gap=147.68549014911073,delta=123310.0,timestamp=8.8198996
fitness=206473.0,iteration=284,gap=147.2878615485957,delta=122978.0,timestamp=9.5252433
fitness=205351.0,iteration=292,gap=145.94406850709623,delta=121856.0,timestamp=9.6870151
fitness=199503.0,iteration=305,gap=138.94005629079587,delta=116008.0,timestamp=9.9703159
fitness=195305.0,iteration=314,gap=133.91221031199473,delta=111810.0,timestamp=10.1565626
fitness=192537.0,iteration=333,gap=130.59704173902628,delta=109042.0,timestamp=10.5383493
fitness=188351.0,iteration=339,gap=125.58356787831606,delta=104856.0,timestamp=10.6683746
fitness=184659.0,iteration=352,gap=121.16174621234805,delta=101164.0,timestamp=10.9382098
fitness=182529.0,iteration=416,gap=118.61069525121263,delta=99034.0,timestamp=12.2531002
fitness=182179.0,iteration=435,gap=118.1915084735613,delta=98684.0,timestamp=12.6321102
fitness=181369.0,iteration=438,gap=117.22139050242531,delta=97874.0,timestamp=12.6848851
fitness=176977.0,iteration=459,gap=111.96119528115456,delta=93482.0,timestamp=13.1240292
fitness=176871.0,iteration=468,gap=111.83424157135158,delta=93376.0,timestamp=13.312615
fitness=176703.0,iteration=470,gap=111.63303191807891,delta=93208.0,timestamp=13.3530296
fitness=176597.0,iteration=472,gap=111.50607820827594,delta=93102.0,timestamp=13.3924029
fitness=176293.0,iteration=498,gap=111.14198454997306,delta=92798.0,timestamp=13.944841
fitness=175363.0,iteration=537,gap=110.02814539792803,delta=91868.0,timestamp=14.7511652
fitness=175205.0,iteration=573,gap=109.83891250973113,delta=91710.0,timestamp=15.510169
fitness=172501.0,iteration=594,gap=106.6003952332475,delta=89006.0,timestamp=15.9460686
fitness=170623.0,iteration=604,gap=104.35115875202108,delta=87128.0,timestamp=16.1566116
fitness=170525.0,iteration=613,gap=104.2337864542787,delta=87030.0,timestamp=16.3402646
fitness=164091.0,iteration=659,gap=96.52793580453918,delta=80596.0,timestamp=17.2935245
fitness=164005.0,iteration=674,gap=96.42493562488772,delta=80510.0,timestamp=17.61744
fitness=163183.0,iteration=683,gap=95.44044553566083,delta=79688.0,timestamp=17.7909793
fitness=162531.0,iteration=698,gap=94.65956045272172,delta=79036.0,timestamp=18.118935
fitness=160207.0,iteration=703,gap=91.87616024911671,delta=76712.0,timestamp=18.2255305
fitness=156807.0,iteration=706,gap=87.80406012336068,delta=73312.0,timestamp=18.2934142
fitness=155469.0,iteration=714,gap=86.20156895622493,delta=71974.0,timestamp=18.4529871
fitness=154575.0,iteration=744,gap=85.1308461584526,delta=71080.0,timestamp=19.0394138
fitness=153537.0,iteration=811,gap=83.88765794358943,delta=70042.0,timestamp=20.2947033
