optimum=83495
execution_time=356.6244772,start_time=3.370548,stop_time=359.9950252
[(87, 96), (57, 54), (7, 8), (62, 61), (84, 85), (21, 26), (12, 11), (18, 16), (90, 74), (15, 89), (43, 44), (3, 4), (60, 53), (0, 1), (64, 98), (29, 94), (9, 10), (45, 30), (95, 99), (20, 19), (93, 91), (47, 46), (79, 78), (35, 36), (13, 68), (40, 39), (81, 92), (75, 76), (52, 51), (71, 69), (25, 24), (38, 37), (77, 80), (22, 23), (83, 86), (33, 34), (5, 6), (63, 65), (14, 17), (31, 32), (42, 41), (28, 27), (67, 66), (82, 88), (56, 55), (72, 70), (50, 73), (48, 49), (58, 59), (97, 2)]
fitness=364395.0,iteration=0,gap=336.42733097790284,delta=280900.0,timestamp=3.4684564
fitness=350105.0,iteration=1,gap=319.3125336846518,delta=266610.0,timestamp=3.5812101
fitness=348485.0,iteration=2,gap=317.3722977423798,delta=264990.0,timestamp=3.698762
fitness=342901.0,iteration=3,gap=310.6844721240793,delta=259406.0,timestamp=3.79427
fitness=332711.0,iteration=4,gap=298.48014851188697,delta=249216.0,timestamp=3.899141
fitness=324749.0,iteration=5,gap=288.94424815857235,delta=241254.0,timestamp=4.0041328
fitness=320099.0,iteration=6,gap=283.3750523983472,delta=236604.0,timestamp=4.1069398
fitness=301845.0,iteration=7,gap=261.51266542906757,delta=218350.0,timestamp=4.2216279
fitness=295329.0,iteration=10,gap=253.70860530570693,delta=211834.0,timestamp=4.518471
fitness=280027.0,iteration=13,gap=235.38175938678964,delta=196532.0,timestamp=4.8336992
fitness=277193.0,iteration=15,gap=231.98754416432124,delta=193698.0,timestamp=5.0308046
fitness=275935.0,iteration=16,gap=230.4808671177915,delta=192440.0,timestamp=5.1377405
fitness=266419.0,iteration=17,gap=219.08377747170488,delta=182924.0,timestamp=5.2436724
fitness=258687.0,iteration=19,gap=209.82334271513264,delta=175192.0,timestamp=5.4373547
fitness=249909.0,iteration=20,gap=199.3101383316366,delta=166414.0,timestamp=5.5467241
fitness=244401.0,iteration=23,gap=192.71333612791187,delta=160906.0,timestamp=5.8465117
fitness=239991.0,iteration=24,gap=187.43158272950475,delta=156496.0,timestamp=5.9454677
fitness=235833.0,iteration=25,gap=182.45164381100665,delta=152338.0,timestamp=6.0419315
fitness=225265.0,iteration=26,gap=169.79459847895083,delta=141770.0,timestamp=6.1529867
fitness=220281.0,iteration=30,gap=163.82537876519552,delta=136786.0,timestamp=6.5579861
fitness=214673.0,iteration=32,gap=157.1088089107132,delta=131178.0,timestamp=6.7654674
fitness=211529.0,iteration=33,gap=153.34331397089647,delta=128034.0,timestamp=6.8801183
fitness=209359.0,iteration=35,gap=150.74435594945805,delta=125864.0,timestamp=7.0861066
fitness=205877.0,iteration=37,gap=146.57404635008083,delta=122382.0,timestamp=7.2871874
fitness=197483.0,iteration=38,gap=136.52074974549376,delta=113988.0,timestamp=7.398308
fitness=194479.0,iteration=41,gap=132.92292951673753,delta=110984.0,timestamp=7.729591
fitness=193057.0,iteration=42,gap=131.21983352296544,delta=109562.0,timestamp=7.8372239
fitness=191075.0,iteration=43,gap=128.8460386849512,delta=107580.0,timestamp=7.9382656
fitness=188603.0,iteration=46,gap=125.88538235822504,delta=105108.0,timestamp=8.2461729
fitness=186609.0,iteration=48,gap=123.49721540211989,delta=103114.0,timestamp=8.4551808
fitness=185443.0,iteration=50,gap=122.10072459428709,delta=101948.0,timestamp=8.665321
fitness=181003.0,iteration=51,gap=116.78304090065272,delta=97508.0,timestamp=8.7778579
fitness=177423.0,iteration=53,gap=112.49535900353314,delta=93928.0,timestamp=8.9919544
fitness=175683.0,iteration=55,gap=110.41140188035212,delta=92188.0,timestamp=9.2005832
fitness=173857.0,iteration=56,gap=108.2244445775196,delta=90362.0,timestamp=9.3175082
fitness=171025.0,iteration=58,gap=104.83262470806636,delta=87530.0,timestamp=9.5186785
fitness=165919.0,iteration=61,gap=98.71728846038685,delta=82424.0,timestamp=9.8172531
fitness=165003.0,iteration=63,gap=97.62021677944787,delta=81508.0,timestamp=10.013706
fitness=164265.0,iteration=65,gap=96.7363315168573,delta=80770.0,timestamp=10.218006
fitness=163727.0,iteration=66,gap=96.09198155578179,delta=80232.0,timestamp=10.3170862
fitness=163411.0,iteration=68,gap=95.71351577938799,delta=79916.0,timestamp=10.5683531
fitness=162063.0,iteration=69,gap=94.09904784717648,delta=78568.0,timestamp=10.676792
fitness=158755.0,iteration=70,gap=90.13713396011738,delta=75260.0,timestamp=10.7799891
fitness=153065.0,iteration=72,gap=83.3223546320139,delta=69570.0,timestamp=10.9887567
fitness=151387.0,iteration=84,gap=81.31265345230253,delta=67892.0,timestamp=12.2324665
fitness=150861.0,iteration=88,gap=80.68267560931793,delta=67366.0,timestamp=12.6396582
